,full_name,team_name,season
0,Andy Cole,Man Utd,1995
1,Andy Cole,England,1995
2,Peter Schmeichel,Man Utd,1995
3,Peter Schmeichel,Denmark,1995
4,John O'Kane,Man Utd,1995
5,John O'Kane,England,1995
6,Gary Neville,Man Utd,1995
7,Gary Neville,England,1995
8,Steve Bruce,Man Utd,1995
9,Steve Bruce,England,1995
10,Gary Pallister,Man Utd,1995
11,Gary Pallister,England,1995
12,Lee Sharpe,Man Utd,1995
13,Lee Sharpe,England,1995
14,Nicky Butt,Man Utd,1995
15,Nicky Butt,England,1995
16,David Beckham,Man Utd,1995
17,David Beckham,England,1995
18,Roy Keane,Man Utd,1995
19,Roy Keane,Ireland,1995
20,Ryan Giggs,Man Utd,1995
21,Ryan Giggs,Wales,1995
22,Terry Cooke,Man Utd,1995
23,Terry Cooke,England,1995
24,Paul Scholes,Man Utd,1995
25,Paul Scholes,England,1995
26,Kevin Pilkington,Man Utd,1995
27,Kevin Pilkington,England,1995
28,Chris Casper,Man Utd,1995
29,Chris Casper,England,1995
30,Denis Irwin,Man Utd,1995
31,Denis Irwin,Ireland,1995
32,David May,Man Utd,1995
33,David May,England,1995
34,Pat McGibbon,Man Utd,1995
35,Pat McGibbon,Northern Ireland,1995
36,Colin Murdock,Man Utd,1995
37,Colin Murdock,Northern Ireland,1995
38,Phil Neville,Man Utd,1995
39,Phil Neville,England,1995
40,Grant Brebner,Man Utd,1995
41,Grant Brebner,Scotland,1995
42,Ben Thornley,Man Utd,1995
43,Ben Thornley,England,1995
44,Eric Cantona,Man Utd,1995
45,Eric Cantona,France,1995
46,Brian McClair,Man Utd,1995
47,Brian McClair,Scotland,1995
48,Graeme Tomlinson,Man Utd,1995
49,Graeme Tomlinson,England,1995
50,Paul Parker,Man Utd,1995
51,Paul Parker,England,1995
52,Simon Davies,Man Utd,1995
53,Simon Davies,Wales,1995
54,Tony Coton,Man Utd,1995
55,Tony Coton,England,1995
56,William Prunier,Man Utd,1995
57,William Prunier,France,1995
58,Philippe Albert,Newcastle,1995
59,Philippe Albert,Belgium,1995
60,Rob Lee,Newcastle,1995
61,Rob Lee,England,1995
62,Faustino Asprilla,Newcastle,1995
63,Faustino Asprilla,Colombia,1995
64,Darren Peacock,Newcastle,1995
65,Darren Peacock,England,1995
66,Warren Barton,Newcastle,1995
67,Warren Barton,England,1995
68,Scott Sellars,Newcastle,1995
69,Scott Sellars,England,1995
70,David Batty,Newcastle,1995
71,David Batty,England,1995
72,Pavel Srnicek,Newcastle,1995
73,Pavel Srnicek,Czech Republic,1995
74,Peter Beardsley,Newcastle,1995
75,Peter Beardsley,England,1995
76,Steve Watson,Newcastle,1995
77,Steve Watson,England,1995
78,John Beresford,Newcastle,1995
79,John Beresford,England,1995
80,Steve Harper,Newcastle,1995
81,Steve Harper,England,1995
82,Lee Clark,Newcastle,1995
83,Lee Clark,England,1995
84,Jim Crawford,Newcastle,1995
85,Jim Crawford,Ireland,1995
86,Robbie Elliott,Newcastle,1995
87,Robbie Elliott,England,1995
88,Les Ferdinand,Newcastle,1995
89,Les Ferdinand,England,1995
90,Ruel Fox,Newcastle,1995
91,Ruel Fox,Montserrat,1995
92,Keith Gillespie,Newcastle,1995
93,Keith Gillespie,Northern Ireland,1995
94,David Ginola,Newcastle,1995
95,David Ginola,France,1995
96,Shaka Hislop,Newcastle,1995
97,Shaka Hislop,Trinidad and Tobago,1995
98,Marc Hottiger,Newcastle,1995
99,Marc Hottiger,Switzerland,1995
100,Steve Howey,Newcastle,1995
101,Steve Howey,England,1995
102,Darren Huckerby,Newcastle,1995
103,Darren Huckerby,England,1995
104,Paul Kitson,Newcastle,1995
105,Paul Kitson,England,1995
106,Mike Hooper,Newcastle,1995
107,Mike Hooper,England,1995
108,Chris Holland,Newcastle,1995
109,Chris Holland,England,1995
110,Paul Brayson,Newcastle,1995
111,Paul Brayson,England,1995
112,Stan Collymore,Liverpool,1995
113,Stan Collymore,England,1995
114,Robbie Fowler,Liverpool,1995
115,Robbie Fowler,England,1995
116,Stig Inge Björnebye,Liverpool,1995
117,Stig Inge Björnebye,Norway,1995
118,Dominic Matteo,Liverpool,1995
119,Dominic Matteo,Scotland,1995
120,Neil Ruddock,Liverpool,1995
121,Neil Ruddock,England,1995
122,John Barnes,Liverpool,1995
123,John Barnes,England,1995
124,Jason McAteer,Liverpool,1995
125,Jason McAteer,Ireland,1995
126,Steve McManaman,Liverpool,1995
127,Steve McManaman,England,1995
128,Michael Thomas,Liverpool,1995
129,Michael Thomas,England,1995
130,David Thompson,Liverpool,1995
131,David Thompson,England,1995
132,David James,Liverpool,1995
133,David James,England,1995
134,Phil Babb,Liverpool,1995
135,Phil Babb,Ireland,1995
136,Jamie Carragher,Liverpool,1995
137,Jamie Carragher,England,1995
138,Steve Harkness,Liverpool,1995
139,Steve Harkness,England,1995
140,Rob Jones,Liverpool,1995
141,Rob Jones,England,1995
142,Gareth Roberts,Liverpool,1995
143,Gareth Roberts,Wales,1995
144,John Scales,Liverpool,1995
145,John Scales,England,1995
146,Mark Wright,Liverpool,1995
147,Mark Wright,England,1995
148,Mark Kennedy,Liverpool,1995
149,Mark Kennedy,Ireland,1995
150,Jamie Redknapp,Liverpool,1995
151,Jamie Redknapp,England,1995
152,David Larmour,Liverpool,1995
153,David Larmour,Northern Ireland,1995
154,Ian Rush,Liverpool,1995
155,Ian Rush,Wales,1995
156,Michael Stensgaard,Liverpool,1995
157,Michael Stensgaard,Denmark,1995
158,Tony Warner,Liverpool,1995
159,Tony Warner,Trinidad and Tobago,1995
160,Phil Charnock,Liverpool,1995
161,Phil Charnock,England,1995
162,Nigel Clough,Liverpool,1995
163,Nigel Clough,England,1995
164,Jan Mölby,Liverpool,1995
165,Jan Mölby,Denmark,1995
166,Mark Walters,Liverpool,1995
167,Mark Walters,England,1995
168,Stephen Pears,Liverpool,1995
169,Stephen Pears,England,1995
170,Lee Jones,Liverpool,1995
171,Lee Jones,Wales,1995
172,Paul McGrath,Aston Villa,1995
173,Paul McGrath,Ireland,1995
174,Andy Townsend,Aston Villa,1995
175,Andy Townsend,Ireland,1995
176,Mark Draper,Aston Villa,1995
177,Mark Draper,England,1995
178,Mark Bosnich,Aston Villa,1995
179,Mark Bosnich,Australia,1995
180,Gary Charles,Aston Villa,1995
181,Gary Charles,England,1995
182,Steve Staunton,Aston Villa,1995
183,Steve Staunton,Ireland,1995
184,Gareth Southgate,Aston Villa,1995
185,Gareth Southgate,England,1995
186,Carl Tiler,Aston Villa,1995
187,Carl Tiler,England,1995
188,Ian Taylor,Aston Villa,1995
189,Ian Taylor,England,1995
190,Savo Milosevic,Aston Villa,1995
191,Savo Milosevic,Serbia,1995
192,Tommy Johnson,Aston Villa,1995
193,Tommy Johnson,England,1995
194,Nigel Spink,Aston Villa,1995
195,Nigel Spink,England,1995
196,Alan Wright,Aston Villa,1995
197,Alan Wright,England,1995
198,Lee Hendrie,Aston Villa,1995
199,Lee Hendrie,England,1995
200,Ugo Ehiogu,Aston Villa,1995
201,Ugo Ehiogu,England,1995
202,Dwight Yorke,Aston Villa,1995
203,Dwight Yorke,Trinidad and Tobago,1995
204,Gareth Farrelly,Aston Villa,1995
205,Gareth Farrelly,Ireland,1995
206,Riccardo Scimeca,Aston Villa,1995
207,Riccardo Scimeca,England,1995
208,Scott Murray,Aston Villa,1995
209,Scott Murray,Scotland,1995
210,Julian Joachim,Aston Villa,1995
211,Julian Joachim,England,1995
212,Michael Oakes,Aston Villa,1995
213,Michael Oakes,England,1995
214,Adam Rachel,Aston Villa,1995
215,Adam Rachel,England,1995
216,Franz Carr,Aston Villa,1995
217,Franz Carr,England,1995
218,Graham Fenton,Aston Villa,1995
219,Graham Fenton,England,1995
220,Neil Davis,Aston Villa,1995
221,Neil Davis,England,1995
222,Paul Browne,Aston Villa,1995
223,Paul Browne,Scotland,1995
224,Vince Bartram,Arsenal,1995
225,Vince Bartram,England,1995
226,David Seaman,Arsenal,1995
227,David Seaman,England,1995
228,Paul Shaw,Arsenal,1995
229,Paul Shaw,England,1995
230,Tony Adams,Arsenal,1995
231,Tony Adams,England,1995
232,Dennis Bergkamp,Arsenal,1995
233,Dennis Bergkamp,Netherlands,1995
234,Steve Bould,Arsenal,1995
235,Steve Bould,England,1995
236,Paul Davis,Arsenal,1995
237,Paul Davis,England,1995
238,Martin Keown,Arsenal,1995
239,Martin Keown,England,1995
240,Paul Dickov,Arsenal,1995
241,Paul Dickov,Scotland,1995
242,Andy Linighan,Arsenal,1995
243,Andy Linighan,England,1995
244,John Hartson,Arsenal,1995
245,John Hartson,Wales,1995
246,Scott Marshall,Arsenal,1995
247,Scott Marshall,Scotland,1995
248,Chris Kiwomya,Arsenal,1995
249,Chris Kiwomya,England,1995
250,Steve Morrow,Arsenal,1995
251,Steve Morrow,Northern Ireland,1995
252,Ian Wright,Arsenal,1995
253,Ian Wright,England,1995
254,Glenn Helder,Arsenal,1995
