,full_name,team_name,season
0,Shay Given,Blackburn,1994
1,Shay Given,Ireland,1994
2,Tim Flowers,Blackburn,1994
3,Tim Flowers,England,1994
4,David Batty,Blackburn,1994
5,David Batty,England,1994
6,Jeff Kenna,Blackburn,1994
7,Jeff Kenna,Ireland,1994
8,Paul Warhurst,Blackburn,1994
9,Paul Warhurst,England,1994
10,Tim Sherwood,Blackburn,1994
11,Tim Sherwood,England,1994
12,Ian Pearce,Blackburn,1994
13,Ian Pearce,England,1994
14,Colin Hendry,Blackburn,1994
15,Colin Hendry,Scotland,1994
16,Frank Talia,Blackburn,1994
17,Frank Talia,Australia,1994
18,Graeme Le Saux,Blackburn,1994
19,Graeme Le Saux,England,1994
20,Stuart Ripley,Blackburn,1994
21,Stuart Ripley,England,1994
22,Kevin Gallacher,Blackburn,1994
23,Kevin Gallacher,Scotland,1994
24,Alan Shearer,Blackburn,1994
25,Alan Shearer,England,1994
26,Mike Newell,Blackburn,1994
27,Mike Newell,England,1994
28,Jason Wilcox,Blackburn,1994
29,Jason Wilcox,England,1994
30,Nicky Marker,Blackburn,1994
31,Nicky Marker,England,1994
32,Bobby Mimms,Blackburn,1994
33,Bobby Mimms,England,1994
34,Lee Makel,Blackburn,1994
35,Lee Makel,England,1994
36,Richard Witschge,Blackburn,1994
37,Richard Witschge,Netherlands,1994
38,Chris Sutton,Blackburn,1994
39,Chris Sutton,England,1994
40,Robbie Slater,Blackburn,1994
41,Robbie Slater,Australia,1994
42,Peter Thorne,Blackburn,1994
43,Peter Thorne,England,1994
44,Henning Berg,Blackburn,1994
45,Henning Berg,Norway,1994
46,Mark Atkins,Blackburn,1994
47,Mark Atkins,England,1994
48,Tony Gale,Blackburn,1994
49,Tony Gale,England,1994
50,Alan Wright,Blackburn,1994
51,Alan Wright,England,1994
52,Andy Morrison,Blackburn,1994
53,Andy Morrison,Scotland,1994
54,Kevin Pilkington,Man Utd,1994
55,Kevin Pilkington,England,1994
56,Andrey Kanchelskis,Man Utd,1994
57,Andrey Kanchelskis,Russia,1994
58,Peter Schmeichel,Man Utd,1994
59,Peter Schmeichel,Denmark,1994
60,Roy Keane,Man Utd,1994
61,Roy Keane,Ireland,1994
62,Gary Walsh,Man Utd,1994
63,Gary Walsh,England,1994
64,Paul Scholes,Man Utd,1994
65,Paul Scholes,England,1994
66,Steve Bruce,Man Utd,1994
67,Steve Bruce,England,1994
68,Lee Sharpe,Man Utd,1994
69,Lee Sharpe,England,1994
70,Ben Thornley,Man Utd,1994
71,Ben Thornley,England,1994
72,Denis Irwin,Man Utd,1994
73,Denis Irwin,Ireland,1994
74,Eric Cantona,Man Utd,1994
75,Eric Cantona,France,1994
76,David May,Man Utd,1994
77,David May,England,1994
78,Andy Cole,Man Utd,1994
79,Andy Cole,England,1994
80,Mark Hughes,Man Utd,1994
81,Mark Hughes,Wales,1994
82,Colin Murdock,Man Utd,1994
83,Colin Murdock,Northern Ireland,1994
84,Brian McClair,Man Utd,1994
85,Brian McClair,Scotland,1994
86,Gary Neville,Man Utd,1994
87,Gary Neville,England,1994
88,Phil Neville,Man Utd,1994
89,Phil Neville,England,1994
90,Gary Pallister,Man Utd,1994
91,Gary Pallister,England,1994
92,Paul Parker,Man Utd,1994
93,Paul Parker,England,1994
94,Nicky Butt,Man Utd,1994
95,Nicky Butt,England,1994
96,Terry Cooke,Man Utd,1994
97,Terry Cooke,England,1994
98,Ryan Giggs,Man Utd,1994
99,Ryan Giggs,Wales,1994
100,Paul Ince,Man Utd,1994
101,Paul Ince,England,1994
102,Graeme Tomlinson,Man Utd,1994
103,Graeme Tomlinson,England,1994
104,Pat McGibbon,Man Utd,1994
