,full_name,team_name,first_season,last_season
134,Alexander Louis Jakubiak,Partick,2021,2021
166,Andrew Firth,Partick,2021,2021
5,Brian Graham,Partick,2021,2021
135,Cameron Smith,Partick,2021,2021
6,Ciaran McKenna,Partick,2021,2021
736,Connor Murray,Partick,2021,2021
136,Darren Brownlie,Partick,2021,2021
1,Emmanuel Okokon Idem,Swindon Town,2021,2021
19,Jacob Bunch,Swindon Town,2021,2021
397,Jake O'Brien,Swindon Town,2021,2021
734,Jamie Sneddon,Partick,2021,2021
12,Joseph Alan Willis,Walsall,2021,2021
785,Juan Diego Alegría Arango,Partick,2021,2021
749,Kevin Holt,Partick,2021,2021
83,Kyle McAllister,Partick,2021,2021
195,Kyle Turner,Partick,2021,2021
176,Lewis William Mayo,Partick,2021,2021
207,Lucas Sebastián Torreira di Pascua,Fiorentina,2021,2021
75,Olatunji Oluwasehun Akinola,Partick,2021,2021
143,Otis Jan Mohammed Khan,Walsall,2021,2021
753,Robert Crawford,Partick,2021,2021
733,Ross David Longwell Docherty,Partick,2021,2021
194,Scott Tiffoney,Partick,2021,2021
37,Shay Willock,Walsall,2021,2021
731,Stephen Hendrie,Partick,2021,2021
735,Stuart Bannigan,Partick,2021,2021
