,first_name,last_name,team_name,season
0,Georginio Gregion Emile,Wijnaldum,Liverpool,2020
1,Aymeric Jean Louis Gérard Alph,Laporte,Manchester City,2020
2,Filip,Benković,Leicester,2020
3,Ademola Lookman Olajade,Alade Aylola Lookman,Fulham,2020
4,Mark,Noble,West Ham,2020
5,Harry,Lewis,Southampton,2020
6,Maxime,Le Marchand,Fulham,2020
7,Gaetano Michel,Berardi,Leeds,2020
8,José Ignacio,Peleteiro Ramallo,Aston Villa,2020
9,Matthew Ben,Longstaff,Newcastle,2020
10,Lewis Mark,Richardson,Burnley,2020
11,Faustino Adebola Rasheed,Anjorin,Chelsea,2020
12,Kyle Alex,John,Everton,2020
13,Kaine,Kesler Hayden,Aston Villa,2020
14,Ebeguowen,Otasowie,Wolves,2020
15,Lars,Dendoncker,Brighton,2020
16,Jamal Marcus,Baptiste,West Ham,2020
17,Cheikh Sidya,Diaby,West Brom,2020
18,Max,Thompson,Burnley,2020
19,Jack,Jenkins,Leeds,2020
20,Lee,Grant,Manchester United,2020
21,Thakgalo Khanya,Leshabela,Leicester,2020
22,Scott,Dann,Crystal Palace,2020
23,Josh,Benson,Burnley,2020
24,David Robert Edmund,Button,West Brom,2020
25,Max Harrison,Sanders,Brighton,2020
26,Jack William,O'Connell,Sheffield Utd,2020
27,Robbie,Gotts,Leeds,2020
28,Kyle Hakeem,Edwards,West Brom,2020
29,David Edward,Martin,West Ham,2020
30,Gonçalo Bento,Soares Cardoso,West Ham,2020
31,Richard Nicos Tettey,Nartey,Burnley,2020
32,Dan,Nlundulu,Southampton,2020
33,Miguel,Azeez,Arsenal,2020
34,Ryan,Astley,Everton,2020
35,Kgaogelo,Chauke,Southampton,2020
36,Oliver,Casey,Leeds,2020
37,Alfie Sean,Devine,Tottenham,2020
38,Reece,Belfield Welch,Everton,2020
39,Ryan James,Finnigan,Southampton,2020
40,Christian,Atsu Twasam,Newcastle,2020
41,Wes,Morgan,Leicester,2020
42,Anthony David,Driscoll-Glennon,Burnley,2020
43,Matthew John,Lowton,Burnley,2020
44,Kayne,Ramsay,Southampton,2020
45,Dale,Stephens,Burnley,2020
46,Rekeem Jordan,Harper,West Brom,2020
47,Jed John,Steer,Aston Villa,2020
48,Anthony,Gomez Mancini,Burnley,2020
49,Taylor,Perry,Wolves,2020
50,Jake,Vokins,Southampton,2020
51,Harry Alfred,Tyrer,Everton,2020
52,Reece Phillip Peter,Hannam,Crystal Palace,2020
53,Teddy Christopher,Graham Jenks,Brighton,2020
54,Lewis Paul Jimmy,Richards,Wolves,2020
55,Christian,Fernandes Marques,Wolves,2020
56,Nile Omari,Mckenzie John,Tottenham,2020
57,Joel,Mumbongo,Burnley,2020
58,Caleb Cassius,Watts,Southampton,2020
59,Zak Rian,Brunt,Sheffield Utd,2020
60,David,de Gea Quintana,Manchester United,2020
61,Juan Manuel,Mata García,Manchester United,2020
62,Branislav,Ivanović,West Brom,2020
63,Nathan,Baxter,Chelsea,2020
64,Robert,Snodgrass,West Brom,2020
65,James,McFarlane McArthur,Crystal Palace,2020
66,Ciaran,Clark,Newcastle,2020
67,Phil,Bardsley,Burnley,2020
68,Shane Patrick,Long,Southampton,2020
69,David James,McGoldrick,Sheffield Utd,2020
70,Francisco,Casilla Cortés,Leeds,2020
71,Pablo,Hernández Domínguez,Leeds,2020
72,Thomas Henry Alex,Robson-Kanu,West Brom,2020
73,Jensen Guy,Weir,Brighton,2020
74,Ryan Stuart Clayton,Inniss,Crystal Palace,2020
75,Stephen Francis,Henderson,Crystal Palace,2020
76,Liam John,Hughes,Liverpool,2020
77,Jake Steven,Cain,Liverpool,2020
78,Shane Aidan Conor,Flynn,Leicester,2020
79,Tawanda Jethro,Maswanhise,Leicester,2020
80,Sergio Leonel,Agüero del Castillo,Manchester City,2020
81,Gareth Frank,Bale,Tottenham,2020
82,Mesut,Özil,Arsenal,2020
83,Wilfredo Daniel,Caballero Lazcano,Chelsea,2020
84,Frederik,Alves Ibsen,West Ham,2020
85,Christian,Fuchs,Leicester,2020
86,Connor Neil Ralph,Wickham,Crystal Palace,2020
87,José Heriberto,Izquierdo Mena,Brighton,2020
88,Kean Shay,Bryan,Sheffield Utd,2020
89,Rayhaan Rahim Amari,Tulloch,West Brom,2020
90,Neil John,Taylor,Aston Villa,2020
91,Axel,Tuanzebe,Manchester United,2020
92,Muhamed,Bešić,Everton,2020
93,Michael Anthony James,Hector,Fulham,2020
94,Joshua Oghenetega Peter,Onomah,Fulham,2020
95,Josh,Knight,Leicester,2020
96,Winston Wiremu,Reid,West Ham,2020
97,Karlo,Žiger,Chelsea,2020
98,Andreas,Søndergaard,Wolves,2020
99,Daniel David,Langley,Newcastle,2020
100,Yannick,Bolasie Yala,Everton,2020
101,Shkodran,Mustafi,Arsenal,2020
102,Sokratis,Papastathopoulos,Arsenal,2020
103,William James,Norris,Burnley,2020
104,Nampalys,Mendy,Leicester,2020
105,Samuel John,Woods,Crystal Palace,2020
106,Andros Darryl,Townsend,Crystal Palace,2020
107,Jordan Harry,Stevens,Leeds,2020
108,Kieran James Ricardo,Gibbs,West Brom,2020
109,Ahmed Eissa,El Mohamady Abdel Fattah,Aston Villa,2020
110,Conor,Hourihane,Aston Villa,2020
111,Fousseni,Diabaté,Leicester,2020
112,Mace Lewin,Goodridge,Burnley,2020
113,Jamie,Soule,West Brom,2020
