,full_name,team_name,first_season,last_season
1151,Alan Kelly,Ireland,1993,1993
910,Alan Kernaghan,Ireland,1993,1993
524,Andy Townsend,Ireland,1993,1993
876,Andy Turner,Ireland,1993,1993
1273,Chris Hamon,Jersey,1993,1993
249,David O'Leary,Ireland,1993,1993
19,Denis Irwin,Ireland,1993,1993
213,Eddie McGoldrick,Ireland,1993,1993
278,Gary Kelly,Ireland,1993,1993
687,Gerry Peyton,Ireland,1993,1993
1012,Jeff Kenna,Ireland,1993,1993
346,John Sheridan,Ireland,1993,1993
69,Kevin Moran,Ireland,1993,1993
685,Lee Power,Ireland,1993,1993
151,Liam O'Brien,Ireland,1993,1993
726,Matthew Rush,Ireland,1993,1993
1200,Mike Milligan,Ireland,1993,1993
900,Niall Quinn,Ireland,1993,1993
801,Nick Colgan,Ireland,1993,1993
153,Nikodimos Papavasiliou,Cyprus,1993,1993
522,Paul McGrath,Ireland,1993,1993
592,Phil Babb,Ireland,1993,1993
520,Ray Houghton,Ireland,1993,1993
427,Ronnie Whelan,Ireland,1993,1993
5,Roy Keane,Ireland,1993,1993
328,Scott Fitzgerald,Ireland,1993,1993
837,Stephen Carr,Ireland,1993,1993
532,Steve Staunton,Ireland,1993,1993
884,Terry Phelan,Ireland,1993,1993
602,Tim Dalton,Ireland,1993,1993
761,Tony Cascarino,Ireland,1993,1993
626,Tony Sheridan,Ireland,1993,1993
588,Willie Boland,Ireland,1993,1993
