,first_name,last_name,team_name,season
0,Georginio Gregion Emile,Wijnaldum,Liverpool,2019
1,Aymeric Jean Louis Gérard Alph,Laporte,Manchester City,2019
2,Filip,Benković,Leicester,2019
3,Bruno André,Cavaco Jordão,Wolves,2019
4,Mark,Noble,West Ham,2019
5,Jack Benjamin,Simpson,Bournemouth,2019
6,Kyle Frazer,Taylor,Bournemouth,2019
7,Josh,Benson,Burnley,2019
8,Harry,Lewis,Southampton,2019
9,José Ignacio,Peleteiro Ramallo,Aston Villa,2019
10,Matthew,Pennington,Everton,2019
11,Marvin,Zeegelaar,Udinese,2019
12,Gonçalo Bento,Soares Cardoso,West Ham,2019
13,Roberto,Jiménez Gago,West Ham,2019
14,Matthew Ben,Longstaff,Newcastle,2019
15,Dan,Nlundulu,Southampton,2019
16,Faustino Adebola Rasheed,Anjorin,Chelsea,2019
17,Kaine,Kesler Hayden,Aston Villa,2019
18,Ebeguowen,Otasowie,Wolves,2019
19,Max,Thompson,Burnley,2019
20,Lee,Grant,Manchester United,2019
21,Abd-Al-Ali Morakinyo Olaposi,Koiki,Burnley,2019
22,Troy,Deeney,Watford,2019
23,Scott,Dann,Crystal Palace,2019
24,Charlie John,Daniels,Bournemouth,2019
25,Simon,Francis,Bournemouth,2019
26,Nathan Nnamdi Ugochukwu Benjam,Asigboro Ofoborh,Bournemouth,2019
27,Andrew,Surman,Bournemouth,2019
28,David Robert Edmund,Button,Brighton,2019
29,Max Harrison,Sanders,Brighton,2019
30,Dale,Stephens,Brighton,2019
31,Glenn,Murray,Brighton,2019
32,Jack William,O'Connell,Sheffield Utd,2019
33,Richard James,Michael Stearman,Sheffield Utd,2019
34,Luke Anthony,Freeman,Sheffield Utd,2019
35,David Edward,Martin,West Ham,2019
36,Daniel,Adshead,Norwich,2019
37,Bernard Patrick,Ashley-Seal,Wolves,2019
38,Nikola,Tavares,Crystal Palace,2019
39,Joshua Saul,Martin,Norwich,2019
40,Zechariah Joshua Henry,Medley,Arsenal,2019
41,Christian,Atsu Twasam,Newcastle,2019
42,Jacob Christian,Maddox,Southampton,2019
43,Wes,Morgan,Leicester,2019
44,Ciaran,Clark,Newcastle,2019
45,Anthony David,Driscoll-Glennon,Burnley,2019
46,Matthew John,Lowton,Burnley,2019
47,Shane Patrick,Long,Southampton,2019
48,El-Hadji Baye Oumar,Niasse,Everton,2019
49,Jed John,Steer,Aston Villa,2019
50,Darnell Tobias Jack,Johnson,Leicester,2019
51,Kelland John William James,Watts,Newcastle,2019
52,Jamie Michael,Sterry,Newcastle,2019
53,Stephen Francis,Henderson,Crystal Palace,2019
54,James Stanley,Daly,Crystal Palace,2019
55,Taylor,Perry,Wolves,2019
56,Jake,Vokins,Southampton,2019
57,Matthew Gerrard,Smith,Arsenal,2019
58,Christian,Saydee,Bournemouth,2019
59,Joel,Mumbongo,Burnley,2019
60,Michel,Vorm,Tottenham,2019
61,David Josué,Jiménez Silva,Manchester City,2019
62,David,de Gea Quintana,Manchester United,2019
63,Juan Manuel,Mata García,Manchester United,2019
64,Ignacio,Monreal Eraso,Arsenal,2019
65,Tyreece Romayo,John-Jules,Arsenal,2019
66,Maarten,Stekelenburg,Everton,2019
67,Daryl,Janmaat,Watford,2019
68,Nathan Elliot,Holland,West Ham,2019
69,Robert,Snodgrass,West Ham,2019
70,James,McFarlane McArthur,Crystal Palace,2019
71,Artur,Boruc,Bournemouth,2019
72,Phil,Bardsley,Burnley,2019
73,Alexander Banor,Tettey,Norwich,2019
74,David James,McGoldrick,Sheffield Utd,2019
75,Mark,Bunn,Aston Villa,2019
76,James,Grant Chester,Aston Villa,2019
77,Alan,Hutton,Aston Villa,2019
78,Neil John,Taylor,Aston Villa,2019
79,Tomer,Hemed,Brighton,2019
80,Sergio Leonel,Agüero del Castillo,Manchester City,2019
81,Mesut,Özil,Arsenal,2019
82,Wilfredo Daniel,Caballero Lazcano,Chelsea,2019
83,Roberto Maximiliano,Pereyra,Watford,2019
84,Christian,Fuchs,Leicester,2019
85,Heurelho,da Silva Gomes,Watford,2019
86,Adalberto,Peñaranda Maestre,Watford,2019
87,Pablo Javier,Zabaleta Girod,West Ham,2019
