,full_name,team_name,first_season,last_season
1114,Alan Kernaghan,Ireland,1995,1995
764,Alan Maybury,Ireland,1995,1995
708,Alan Moore,Ireland,1995,1995
175,Andy Townsend,Ireland,1995,1995
461,Andy Turner,Ireland,1995,1995
826,Brendan Murphy,Ireland,1995,1995
682,Chris Morris,Ireland,1995,1995
710,Curtis Fleming,Ireland,1995,1995
31,Denis Irwin,Ireland,1995,1995
263,Eddie McGoldrick,Ireland,1995,1995
205,Gareth Farrelly,Ireland,1995,1995
758,Gary Kelly,Ireland,1995,1995
716,Graham Kavanagh,Ireland,1995,1995
1209,Greg Goodridge,Barbados,1995,1995
756,Ian Harte,Ireland,1995,1995
125,Jason McAteer,Ireland,1995,1995
362,Jeff Kenna,Ireland,1995,1995
85,Jim Crawford,Ireland,1995,1995
903,John Sheridan,Ireland,1995,1995
846,Jon Goodman,Ireland,1995,1995
1235,Keith Branagan,Ireland,1995,1995
746,Keith O'Halloran,Ireland,1995,1995
820,Kenny Cunningham,Ireland,1995,1995
465,Kevin Maher,Ireland,1995,1995
1038,Liam Daish,Ireland,1995,1995
149,Mark Kennedy,Ireland,1995,1995
1135,Niall Quinn,Ireland,1995,1995
680,Nick Colgan,Ireland,1995,1995
475,Owen Coll,Ireland,1995,1995
173,Paul McGrath,Ireland,1995,1995
135,Phil Babb,Ireland,1995,1995
1239,Rafael da Costa Ferreira,Luxembourg,1995,1995
897,Richard O'Connor,Anguilla,1995,1995
19,Roy Keane,Ireland,1995,1995
870,Scott Fitzgerald,Ireland,1995,1995
342,Shay Given,Ireland,1995,1995
445,Stephen Carr,Ireland,1995,1995
183,Steve Staunton,Ireland,1995,1995
662,Terry Phelan,Ireland,1995,1995
974,Tony Brien,Ireland,1995,1995
1022,Willie Boland,Ireland,1995,1995
