,first_name,last_name,team_name,season
0,Rafael Euclides,Soares Camacho,Liverpool,2018
1,Georginio Gregion Emile,Wijnaldum,Liverpool,2018
2,Aymeric Jean Louis Gérard Alph,Laporte,Manchester City,2018
3,Lee,Grant,Manchester United,2018
4,Victor,Moses,Chelsea,2018
5,Abd-Al-Ali Morakinyo Olaposi,Koiki,Burnley,2018
6,Mateusz Tomasz,Hewelt,Everton,2018
7,Ademola Lookman Olajade,Alade Aylola Lookman,Everton,2018
8,Mark,Noble,West Ham,2018
9,Julián,Speroni,Crystal Palace,2018
10,Jack Benjamin,Simpson,Bournemouth,2018
11,Kyle Frazer,Taylor,Bournemouth,2018
12,Josh,Benson,Burnley,2018
13,David Robert Edmund,Button,Brighton,2018
14,Bruno,Saltor Grau,Brighton,2018
15,Max Harrison,Sanders,Brighton,2018
16,Maxime,Le Marchand,Fulham,2018
17,Joel,Coleman,Huddersfield,2018
18,Matthew,Pennington,Everton,2018
19,Jesús,Gámez Duarte,Newcastle,2018
20,Luke Ayodele,Amos,Tottenham,2018
21,Wes,Morgan,Leicester,2018
22,Troy,Deeney,Watford,2018
23,Scott,Dann,Crystal Palace,2018
24,Charlie John,Daniels,Bournemouth,2018
25,Simon,Francis,Bournemouth,2018
26,Nathan Nnamdi Ugochukwu Benjam,Asigboro Ofoborh,Bournemouth,2018
27,Andrew,Surman,Bournemouth,2018
28,Kayne,Ramsay,Southampton,2018
29,Dale,Stephens,Brighton,2018
30,Glenn,Murray,Brighton,2018
31,Loïc,Damour,Cardiff,2018
32,Luciano Darío,Vietto Martín,Fulham,2018
33,Jason David Ian,Puncheon,Huddersfield,2018
34,Gary,Lee Madine,Cardiff,2018
35,Scott Liam,Malone,Huddersfield,2018
36,Marc,Pugh,Bournemouth,2018
37,Nikola,Tavares,Crystal Palace,2018
38,Luke Garry,Dreher,Crystal Palace,2018
39,Lewis Graham,Cass,Newcastle,2018
40,Timothy Joel,Eyoma,Tottenham,2018
41,Zechariah Joshua Henry,Medley,Arsenal,2018
42,Christian,Atsu Twasam,Newcastle,2018
43,Joe James,Powell,West Ham,2018
44,Cameron Bradley,John,Wolves,2018
45,Ciaran,Clark,Newcastle,2018
