,full_name,team_name,season
0,John Lukic,Arsenal,1997
1,John Lukic,England,1997
2,Paolo Vernazza,Arsenal,1997
3,Paolo Vernazza,England,1997
4,Alexander Manninger,Arsenal,1997
5,Alexander Manninger,Austria,1997
6,Patrick Vieira,Arsenal,1997
7,Patrick Vieira,France,1997
8,David Seaman,Arsenal,1997
9,David Seaman,England,1997
10,Nicolas Anelka,Arsenal,1997
11,Nicolas Anelka,France,1997
12,Tony Adams,Arsenal,1997
13,Tony Adams,England,1997
14,Dennis Bergkamp,Arsenal,1997
15,Dennis Bergkamp,Netherlands,1997
16,Marc Overmars,Arsenal,1997
17,Marc Overmars,Netherlands,1997
18,Jason Crowe,Arsenal,1997
19,Jason Crowe,England,1997
20,Isaiah Rankin,Arsenal,1997
21,Isaiah Rankin,England,1997
22,Lee Dixon,Arsenal,1997
23,Lee Dixon,England,1997
24,Christopher Wreh,Arsenal,1997
25,Christopher Wreh,Liberia,1997
26,Gilles Grimandi,Arsenal,1997
27,Gilles Grimandi,France,1997
28,Ian Wright,Arsenal,1997
29,Ian Wright,England,1997
30,Martin Keown,Arsenal,1997
31,Martin Keown,England,1997
32,Matthew Upson,Arsenal,1997
33,Matthew Upson,England,1997
34,Nigel Winterburn,Arsenal,1997
35,Nigel Winterburn,England,1997
36,Luís Boa Morte,Arsenal,1997
37,Luís Boa Morte,Portugal,1997
38,Rémi Garde,Arsenal,1997
39,Rémi Garde,France,1997
40,Stephen Hughes,Arsenal,1997
41,Stephen Hughes,England,1997
42,Alberto Méndez,Arsenal,1997
43,Alberto Méndez,Germany,1997
44,Ray Parlour,Arsenal,1997
45,Ray Parlour,England,1997
46,Emmanuel Petit,Arsenal,1997
47,Emmanuel Petit,France,1997
48,David Platt,Arsenal,1997
49,David Platt,England,1997
50,Steve Bould,Arsenal,1997
51,Steve Bould,England,1997
52,Scott Marshall,Arsenal,1997
53,Scott Marshall,Scotland,1997
54,Gavin McGowan,Arsenal,1997
55,Gavin McGowan,England,1997
56,Vince Bartram,Arsenal,1997
57,Vince Bartram,England,1997
58,Jehad Muntasser,Arsenal,1997
59,Jehad Muntasser,Libya,1997
60,Peter Schmeichel,Man Utd,1997
61,Peter Schmeichel,Denmark,1997
62,Raimond van der Gouw,Man Utd,1997
63,Raimond van der Gouw,Netherlands,1997
64,Ben Thornley,Man Utd,1997
65,Ben Thornley,England,1997
66,Henning Berg,Man Utd,1997
67,Henning Berg,Norway,1997
68,Michael Twiss,Man Utd,1997
69,Michael Twiss,England,1997
70,Wes Brown,Man Utd,1997
71,Wes Brown,England,1997
72,Andy Cole,Man Utd,1997
73,Andy Cole,England,1997
74,Brian McClair,Man Utd,1997
75,Brian McClair,Scotland,1997
76,John Curtis,Man Utd,1997
77,John Curtis,England,1997
78,Erik Nevland,Man Utd,1997
79,Erik Nevland,Norway,1997
80,Danny Higginbotham,Man Utd,1997
81,Danny Higginbotham,Gibraltar,1997
82,Teddy Sheringham,Man Utd,1997
83,Teddy Sheringham,England,1997
84,Denis Irwin,Man Utd,1997
85,Denis Irwin,Ireland,1997
86,Ole Gunnar Solskjaer,Man Utd,1997
87,Ole Gunnar Solskjaer,Norway,1997
88,Ronny Johnsen,Man Utd,1997
89,Ronny Johnsen,Norway,1997
90,David May,Man Utd,1997
91,David May,England,1997
92,Gary Neville,Man Utd,1997
93,Gary Neville,England,1997
94,Phil Neville,Man Utd,1997
95,Phil Neville,England,1997
96,David Beckham,Man Utd,1997
97,David Beckham,England,1997
98,Nicky Butt,Man Utd,1997
99,Nicky Butt,England,1997
100,Jordi Cruyff,Man Utd,1997
101,Jordi Cruyff,Netherlands,1997
102,Ryan Giggs,Man Utd,1997
103,Ryan Giggs,Wales,1997
104,Jonathan Greening,Man Utd,1997
105,Jonathan Greening,England,1997
106,Roy Keane,Man Utd,1997
107,Roy Keane,Ireland,1997
108,Phil Mulryne,Man Utd,1997
109,Phil Mulryne,Northern Ireland,1997
110,Paul Scholes,Man Utd,1997
111,Paul Scholes,England,1997
112,Gary Pallister,Man Utd,1997
113,Gary Pallister,England,1997
114,Mike Clegg,Man Utd,1997
115,Mike Clegg,England,1997
116,John O'Kane,Man Utd,1997
117,John O'Kane,England,1997
118,Karel Poborsky,Man Utd,1997
119,Karel Poborsky,Czech Republic,1997
120,Kevin Pilkington,Man Utd,1997
121,Kevin Pilkington,England,1997
122,Ronnie Wallwork,Man Utd,1997
123,Ronnie Wallwork,England,1997
124,Alex Notman,Man Utd,1997
125,Alex Notman,Scotland,1997
126,Nick Culkin,Man Utd,1997
127,Nick Culkin,England,1997
128,Chris Casper,Man Utd,1997
129,Chris Casper,England,1997
130,Brad Friedel,Liverpool,1997
131,Brad Friedel,United States,1997
132,Jamie Redknapp,Liverpool,1997
133,Jamie Redknapp,England,1997
134,David James,Liverpool,1997
135,David James,England,1997
136,Phil Babb,Liverpool,1997
137,Phil Babb,Ireland,1997
138,David Thompson,Liverpool,1997
139,David Thompson,England,1997
140,Stig Inge Björnebye,Liverpool,1997
141,Stig Inge Björnebye,Norway,1997
142,Danny Williams,Liverpool,1997
143,Danny Williams,Wales,1997
144,Jamie Carragher,Liverpool,1997
145,Jamie Carragher,England,1997
146,Robbie Fowler,Liverpool,1997
147,Robbie Fowler,England,1997
148,Haukur Ingi Gudnason,Liverpool,1997
