,full_name,team_name,first_season,last_season
177,Abdelaziz Salim Ali Salim Alkaabi,Shabab Al Ahli Dubai,2018,2018
175,Majed Naser Humaid Bakheit Al Maqdami,Shabab Al Ahli Dubai,2018,2018
179,Marwan Fahad Hamza Hassan Alwatani,Shabab Al Ahli Dubai,2018,2018
256,Mohamed Ismail Sayed Ali Al Hosani,Shabab Al Ahli Dubai,2018,2018
176,Mohammed Marzooq Abdulla Mohammed Al Matroushi,Shabab Al Ahli Dubai,2018,2018
178,Salmin Khamis Salmin Saqer Salmin,Shabab Al Ahli Dubai,2018,2018
257,Saud Abdelrazaq Saif Buhair Almheiri,Shabab Al Ahli Dubai,2018,2018
258,Waleed Hussain Hassan Abdulla,Shabab Al Ahli Dubai,2018,2018
