,full_name,team_name,season
0,Raimond van der Gouw,Man Utd,1996
1,Raimond van der Gouw,Netherlands,1996
2,Denis Irwin,Man Utd,1996
3,Denis Irwin,Ireland,1996
4,Gary Pallister,Man Utd,1996
5,Gary Pallister,England,1996
6,Ronny Johnsen,Man Utd,1996
7,Ronny Johnsen,Norway,1996
8,Gary Neville,Man Utd,1996
9,Gary Neville,England,1996
10,Ryan Giggs,Man Utd,1996
11,Ryan Giggs,Wales,1996
12,Nicky Butt,Man Utd,1996
13,Nicky Butt,England,1996
14,Roy Keane,Man Utd,1996
15,Roy Keane,Ireland,1996
16,David Beckham,Man Utd,1996
17,David Beckham,England,1996
18,Eric Cantona,Man Utd,1996
19,Eric Cantona,France,1996
20,Ole Gunnar Solskjaer,Man Utd,1996
21,Ole Gunnar Solskjaer,Norway,1996
22,Andy Cole,Man Utd,1996
23,Andy Cole,England,1996
24,Paul Scholes,Man Utd,1996
25,Paul Scholes,England,1996
26,Peter Schmeichel,Man Utd,1996
27,Peter Schmeichel,Denmark,1996
28,David May,Man Utd,1996
29,David May,England,1996
30,Phil Neville,Man Utd,1996
31,Phil Neville,England,1996
32,Karel Poborsky,Man Utd,1996
33,Karel Poborsky,Czech Republic,1996
34,John O'Kane,Man Utd,1996
35,John O'Kane,England,1996
36,Kevin Pilkington,Man Utd,1996
37,Kevin Pilkington,England,1996
38,Chris Casper,Man Utd,1996
39,Chris Casper,England,1996
40,Mike Clegg,Man Utd,1996
41,Mike Clegg,England,1996
42,John Curtis,Man Utd,1996
43,John Curtis,England,1996
44,Michael Appleton,Man Utd,1996
45,Michael Appleton,England,1996
46,Grant Brebner,Man Utd,1996
47,Grant Brebner,Scotland,1996
48,Terry Cooke,Man Utd,1996
49,Terry Cooke,England,1996
50,Jordi Cruyff,Man Utd,1996
51,Jordi Cruyff,Netherlands,1996
52,Phil Mulryne,Man Utd,1996
53,Phil Mulryne,Northern Ireland,1996
54,Ben Thornley,Man Utd,1996
55,Ben Thornley,England,1996
56,Jon Macken,Man Utd,1996
57,Jon Macken,Ireland,1996
58,Brian McClair,Man Utd,1996
59,Brian McClair,Scotland,1996
60,Simon Davies,Man Utd,1996
61,Simon Davies,Wales,1996
62,Paul Gibson,Man Utd,1996
63,Paul Gibson,England,1996
64,Shaka Hislop,Newcastle,1996
65,Shaka Hislop,Trinidad and Tobago,1996
66,Warren Barton,Newcastle,1996
67,Warren Barton,England,1996
68,Darren Peacock,Newcastle,1996
69,Darren Peacock,England,1996
70,Steve Watson,Newcastle,1996
71,Steve Watson,England,1996
72,Robbie Elliott,Newcastle,1996
73,Robbie Elliott,England,1996
74,Philippe Albert,Newcastle,1996
75,Philippe Albert,Belgium,1996
76,David Batty,Newcastle,1996
77,David Batty,England,1996
78,Lee Clark,Newcastle,1996
79,Lee Clark,England,1996
80,Peter Beardsley,Newcastle,1996
81,Peter Beardsley,England,1996
82,Faustino Asprilla,Newcastle,1996
83,Faustino Asprilla,Colombia,1996
84,Keith Gillespie,Newcastle,1996
85,Keith Gillespie,Northern Ireland,1996
86,Jim Crawford,Newcastle,1996
87,Jim Crawford,Ireland,1996
88,Les Ferdinand,Newcastle,1996
89,Les Ferdinand,England,1996
90,David Ginola,Newcastle,1996
91,David Ginola,France,1996
92,Pavel Srnicek,Newcastle,1996
93,Pavel Srnicek,Czech Republic,1996
94,John Beresford,Newcastle,1996
95,John Beresford,England,1996
96,Rob Lee,Newcastle,1996
97,Rob Lee,England,1996
98,Alan Shearer,Newcastle,1996
99,Alan Shearer,England,1996
100,Steve Howey,Newcastle,1996
101,Steve Howey,England,1996
102,Paul Kitson,Newcastle,1996
103,Paul Kitson,England,1996
104,Paul Brayson,Newcastle,1996
105,Paul Brayson,England,1996
106,Des Hamilton,Newcastle,1996
107,Des Hamilton,England,1996
108,Aaron Hughes,Newcastle,1996
109,Aaron Hughes,Northern Ireland,1996
110,Stuart Elliott,Newcastle,1996
111,Stuart Elliott,England,1996
112,Vince Bartram,Arsenal,1996
113,Vince Bartram,England,1996
