,full_name,team_name,first_season,last_season
196,Aaron Mokoena,Portsmouth,2009,2009
151,Angelos Basinas,Portsmouth,2009,2009
307,Anthony Henri Vanden Borre,Portsmouth,2009,2009
375,Aruna Dindane,Portsmouth,2009,2009
98,Danny Webber,Portsmouth,2009,2009
39,Eric Gautier Mahoto,Portsmouth,2009,2009
496,Frédéric Michel Piquionne,Portsmouth,2009,2009
305,Gaël N'Lundulu,Portsmouth,2009,2009
271,Hassan Yebda,Portsmouth,2009,2009
54,Jamie Ashdown,Portsmouth,2009,2009
394,Jamie O'Hara,Portsmouth,2009,2009
570,Joel Edward Philip Ward,Portsmouth,2009,2009
546,John Chukwudi Utaka,Portsmouth,2009,2009
340,Kevin Prince,Portsmouth,2009,2009
349,Lennard Adjetey Sowah,Portsmouth,2009,2009
482,Liam Daniel O'Brien,Portsmouth,2009,2009
145,Marc David Wilson,Portsmouth,2009,2009
23,Marlon Pack,Portsmouth,2009,2009
590,Matthew Thomas Ritchie,Portsmouth,2009,2009
265,Nadir Belhadj,Portsmouth,2009,2009
536,Nadir Çiftçi,Portsmouth,2009,2009
116,Nwankwo Christian Kanu,Portsmouth,2009,2009
519,Omar Alieu Koroma,Portsmouth,2009,2009
118,Papa Bouba Diop,Portsmouth,2009,2009
108,Quincy Owusu,Portsmouth,2009,2009
218,Ricardo Sérgio Rocha Azevedo,Portsmouth,2009,2009
217,Richard Hughes,Portsmouth,2009,2009
311,Tal Ben Haim,Portsmouth,2009,2009
8,Tommy Smith,Portsmouth,2009,2009
