,first_name,last_name,team_name,season
0,Mark,Noble,West Ham,2010
1,Wayne,Routledge,Newcastle,2010
2,Craig,Gardner,Birmingham,2010
3,Ali Abdullah Harib,Al Habsi,Wigan,2010
4,Nabil,El Zhar,Liverpool,2010
5,Rubén,Rochina Naixes,Blackburn,2010
6,Ruud Jorge,Boffin,West Ham,2010
7,Stuart,Taylor,Manchester City,2010
8,Victor Chinedu,Anichebe,Everton,2010
9,David,Elm,Fulham,2010
10,Carlos Javier,Cuéllar Jiménez,Aston Villa,2010
11,Ronnie,Stam,Wigan,2010
12,Kevin,Nolan,Newcastle,2010
13,Titus Malachi,Bramble,Sunderland,2010
14,Jody,Craddock,Wolves,2010
15,Stuart,Parnaby,Birmingham,2010
16,Jonathan,Greening,Fulham,2010
17,David,Murphy,Birmingham,2010
18,Daniël,de Ridder,Wigan,2010
19,Philip,Airey,Newcastle,2010
20,Andre,Wisdom,Liverpool,2010
21,Nathan Luke,Baker,Aston Villa,2010
22,Thomas John,Barkhuizen,Blackpool,2010
23,Callum Henry,McManaman,Wigan,2010
24,Joshua James,Vela,Bolton,2010
25,Jay Francis,Spearing,Liverpool,2010
26,Jordon,Mutch,Birmingham,2010
27,Andrew,Davies,Stoke City,2010
28,Cameron,Jerome,Birmingham,2010
29,Chinedum,Onuoha,Sunderland,2010
30,Steve,Sidwell,Fulham,2010
31,Darren,Lough,Newcastle,2010
32,Frank,Wiafe Danquah,Newcastle,2010
33,Tony,Hibbert,Everton,2010
34,Carlo,Nash,Stoke City,2010
35,Andy,Marshall,Aston Villa,2010
36,Oliver,Gill,Manchester United,2010
37,Marcus,Bent,Wolves,2010
38,Adriano,Basso,Wolves,2010
39,Sean,Davis,Bolton,2010
40,Jose,Baxter,Everton,2010
41,Luke,Varney,Blackpool,2010
42,Benjamin,Watson,Wigan,2010
43,George,Thorne,West Brom,2010
44,Lee,Cattermole,Sunderland,2010
45,Paul Michael,Downing,West Brom,2010
46,James Robert,Wallace,Everton,2010
47,Michael,Kightly,Wolves,2010
48,Anton,Ferdinand,Sunderland,2010
49,Leon,Barnett,West Brom,2010
50,Chris,Kettings,Blackpool,2010
51,Jerome,Thomas,West Brom,2010
52,Danny,Higginbotham,Stoke City,2010
53,Ryan,Noble,Sunderland,2010
54,Craig,Lynch,Sunderland,2010
55,Marlon,Harewood,Blackpool,2010
56,Jake,Larkins,West Ham,2010
57,Matthew Clayton,Hill,Wolves,2010
58,Péter,Kurucz,West Ham,2010
59,Dave,Kitson,Stoke City,2010
60,Kieran Ricardo,Agard,Everton,2010
61,Scott,Dann,Birmingham,2010
62,Jason David Ian,Puncheon,Blackpool,2010
63,Richard James,Michael Stearman,Wolves,2010
64,Scott Liam,Malone,Wolves,2010
65,Ryan,Tunnicliffe,Manchester United,2010
66,Sammy,Ameobi,Newcastle,2010
67,James,Vaughan,Everton,2010
68,Ashley Thomas,Eastham,Carlisle,2010
69,Ethan Reid,Ebanks-Landell,Wolves,2010
70,Michael,Turner,Sunderland,2010
71,Darryl Hérold,Goulon,Blackburn,2010
72,Ole,Söderberg,Newcastle,2010
73,Nigel,Reo-Coker,Aston Villa,2010
74,Nile,Ranger,Newcastle,2010
75,Alex,Tchuimeni-Nimely,Manchester City,2010
76,Ricardo,Fuller,Stoke City,2010
77,Christopher,Chantler,Manchester City,2010
78,Joe,Dudgeon,Manchester United,2010
79,Dylan,Tombides,West Ham,2010
80,Asamoah,Gyan,Sunderland,2010
81,Adam,Buxton,Wigan,2010
82,Ben Peter Anthony,Tozer,Newcastle,2010
83,Robert Steven,Milsom,Fulham,2010
84,Marc-Antoine,Fortuné,West Brom,2010
85,David Frank Llwyd,Jones,Wolves,2010
86,Eric,Lichaj,Aston Villa,2010
87,Liam,Ridgewell,Birmingham,2010
88,John Joseph,Bostock,Tottenham,2010
89,Wilson Roberto,Palacios Suazo,Tottenham,2010
90,Sulley Ali,Muntari,Sunderland,2010
91,Adam Michael,Reed,Sunderland,2010
92,Robert Paul,Lainton,Bolton,2010
93,Lauri,Dalla Valle,Liverpool,2010
94,Steve,Harper,Newcastle,2010
95,Abdoulaye,Diagne-Fayé,Stoke City,2010
96,Joseph Phillip,Yobo,Everton,2010
97,Dickson Paul,Etuhu,Fulham,2010
98,Salif Alassane,Diao,Stoke City,2010
99,Daniel,Coid,Blackpool,2010
100,Matthew Anthony,Derbyshire,Birmingham,2010
101,Roger,Johnson,Birmingham,2010
102,Ryan,Taylor,Newcastle,2010
103,Tom,Soares,Stoke City,2010
104,Hendry Bernardo,Thomas Suazo,Wigan,2010
105,Carlos Arnoldo,Salcido Flores,Fulham,2010
106,Jonathan,Spector,West Ham,2010
107,Bongani Sandile,Khumalo,Tottenham,2010
108,Maynor Alexis,Figueroa Róchez,Wigan,2010
109,Shola,Ameobi,Newcastle,2010
110,Steed,Malbranque,Sunderland,2010
111,Paul,Rachubka,Blackpool,2010
112,Steven,Pienaar,Tottenham,2010
113,Victor,Obinna Nsofor,West Ham,2010
114,Giovani,dos Santos Ramírez,Tottenham,2010
115,Clint,Dempsey,Fulham,2010
116,Habib,Beye,Aston Villa,2010
117,Diomansy,Kamara,Fulham,2010
118,Eddie,Johnson,Fulham,2010
119,Marcus,Hahnemann,Wolves,2010
120,Denílson,Pereira Neves,Arsenal,2010
121,Michael,Tonge,Stoke City,2010
122,Amine,Linganzi Koumba,Blackburn,2010
123,Ryan,Shotton,Stoke City,2010
124,Darron,Gibson,Manchester United,2010
125,John,O'Shea,Manchester United,2010
126,Marc David,Wilson,Stoke City,2010
127,Emmanuel,Adebayor,Manchester City,2010
128,Stephen,Kelly,Fulham,2010
129,Liam,Lawrence,Stoke City,2010
130,Zoltán,Gera,Fulham,2010
131,Kenwyne,Jones,Stoke City,2010
