,first_name,last_name,team_name,season
0,Mark,Noble,West Ham,2013
1,Julián,Speroni,Crystal Palace,2013
2,Andre,Wisdom,Liverpool,2013
3,Nathan Luke,Baker,Aston Villa,2013
4,Nathan,Dyer,Swansea,2013
5,Wayne,Routledge,Swansea,2013
6,Craig,Gardner,Sunderland,2013
7,Modibo,Diakité,Sunderland,2013
8,Jordon,Mutch,Cardiff,2013
9,Juan,Torres Ruiz,Cardiff,2013
10,Adilson,Tavares Varela,Sunderland,2013
11,Brek,Shea,Stoke City,2013
12,Steve,Sidwell,Fulham,2013
13,Victor Chinedu,Anichebe,West Brom,2013
14,Carlos Javier,Cuéllar Jiménez,Sunderland,2013
15,Kevin,Nolan,West Ham,2013
16,Tony,Hibbert,Everton,2013
17,Tommy,Smith,Cardiff,2013
18,Carlo,Nash,Norwich,2013
19,Gregor,Zabret,Swansea,2013
20,Nicholas David,Maynard,Cardiff,2013
21,Elliott,Bennett,Norwich,2013
22,Àngel,Rangel Zaragoza,Swansea,2013
23,George,Thorne,West Brom,2013
24,Lee,Cattermole,Sunderland,2013
25,Jay Francis,Spearing,Bolton,2013
26,Michael,Kightly,Stoke City,2013
27,Abdulyussuf Adedeji Adeniyi,Oshilaja,Cardiff,2013
28,Romain Grégoire,Clément Amalfitano,Newcastle,2013
29,Cameron,Jerome,Crystal Palace,2013
30,Simon,Lappin,Cardiff,2013
31,Mason,Springthorpe,Everton,2013
32,Liam,Rosenior,Hull City,2013
33,Jerome,Thomas,Crystal Palace,2013
34,Charlie Patrick,Ward,Stoke City,2013
35,Charlie,Ward,Stoke City,2013
36,Luciano,Becchio,Norwich,2013
37,Luke,Moore,Swansea,2013
38,Adam,Mitchell,Sunderland,2013
39,Cameron,Gayle,West Brom,2013
40,Hiram Kojo Kwarteng,Boateng,Crystal Palace,2013
41,Scott,Dann,Crystal Palace,2013
42,Glenn,Murray,Crystal Palace,2013
43,Bradley,Johnson,Norwich,2013
44,Danny,Graham,Hull City,2013
45,Ryan,Tunnicliffe,Fulham,2013
46,Billy,Jones,West Brom,2013
47,Sammy,Ameobi,Newcastle,2013
48,Craig Stephen,Noone,Cardiff,2013
49,Michael,Turner,Norwich,2013
50,Sylvain,Marveaux,Newcastle,2013
51,Joseph Peter,Lewis,Cardiff,2013
52,Stephen,Dobbie,Crystal Palace,2013
53,Yoan,Gouffran,Newcastle,2013
54,Peter,Whittingham,Cardiff,2013
55,Florian,Marange,Crystal Palace,2013
56,Adam,King,Swansea,2013
57,Matt,Fryatt,Hull City,2013
58,Garry,Monk,Swansea,2013
59,Joe,Dudgeon,Hull City,2013
