,full_name,team_name,season
0,Peter Schmeichel,Man Utd,1992
1,Peter Schmeichel,Denmark,1992
2,Paul Scholes,Man Utd,1992
3,Paul Scholes,England,1992
4,Lee Sharpe,Man Utd,1992
5,Lee Sharpe,England,1992
6,Eric Cantona,Man Utd,1992
7,Eric Cantona,France,1992
8,Steve Bruce,Man Utd,1992
9,Steve Bruce,England,1992
10,Dion Dublin,Man Utd,1992
11,Dion Dublin,England,1992
12,Mark Hughes,Man Utd,1992
13,Mark Hughes,Wales,1992
14,Denis Irwin,Man Utd,1992
15,Denis Irwin,Ireland,1992
16,Brian McClair,Man Utd,1992
17,Brian McClair,Scotland,1992
18,Pat McGibbon,Man Utd,1992
19,Pat McGibbon,Northern Ireland,1992
20,Colin Murdock,Man Utd,1992
21,Colin Murdock,Northern Ireland,1992
22,Gary Pallister,Man Utd,1992
23,Gary Pallister,England,1992
24,Paul Parker,Man Utd,1992
25,Paul Parker,England,1992
26,Nicky Butt,Man Utd,1992
27,Nicky Butt,England,1992
28,Darren Ferguson,Man Utd,1992
29,Darren Ferguson,Scotland,1992
30,Ryan Giggs,Man Utd,1992
31,Ryan Giggs,Wales,1992
32,Paul Ince,Man Utd,1992
33,Paul Ince,England,1992
34,Andrey Kanchelskis,Man Utd,1992
35,Andrey Kanchelskis,Russia,1992
36,Bryan Robson,Man Utd,1992
37,Bryan Robson,England,1992
38,Les Sealey,Man Utd,1992
39,Les Sealey,England,1992
40,Gary Walsh,Man Utd,1992
41,Gary Walsh,England,1992
42,Lee Martin,Man Utd,1992
43,Lee Martin,England,1992
44,Gary Neville,Man Utd,1992
45,Gary Neville,England,1992
46,Clayton Blackmore,Man Utd,1992
47,Clayton Blackmore,Wales,1992
48,Mike Phelan,Man Utd,1992
49,Mike Phelan,England,1992
50,Neil Webb,Man Utd,1992
51,Neil Webb,England,1992
52,Colin McKee,Man Utd,1992
53,Colin McKee,Scotland,1992
54,David Beckham,Man Utd,1992
55,David Beckham,England,1992
56,Keith Gillespie,Man Utd,1992
57,Keith Gillespie,Northern Ireland,1992
58,Mark Robins,Man Utd,1992
59,Mark Robins,England,1992
60,Danny Wallace,Man Utd,1992
61,Danny Wallace,England,1992
62,Fraser Digby,Man Utd,1992
63,Fraser Digby,England,1992
64,Kevin Pilkington,Man Utd,1992
65,Kevin Pilkington,England,1992
66,Craig Lawton,Man Utd,1992
67,Craig Lawton,Wales,1992
68,Brian Carey,Man Utd,1992
69,Brian Carey,Ireland,1992
70,Russell Beardsmore,Man Utd,1992
71,Russell Beardsmore,England,1992
72,Nigel Spink,Aston Villa,1992
73,Nigel Spink,England,1992
74,Earl Barrett,Aston Villa,1992
75,Earl Barrett,England,1992
76,Steve Staunton,Aston Villa,1992
77,Steve Staunton,Ireland,1992
78,Paul McGrath,Aston Villa,1992
79,Paul McGrath,Ireland,1992
80,Kevin Richardson,Aston Villa,1992
81,Kevin Richardson,England,1992
82,Tony Daley,Aston Villa,1992
83,Tony Daley,England,1992
84,Garry Parker,Aston Villa,1992
85,Garry Parker,England,1992
86,Ray Houghton,Aston Villa,1992
87,Ray Houghton,Ireland,1992
88,Dalian Atkinson,Aston Villa,1992
89,Dalian Atkinson,England,1992
90,Dwight Yorke,Aston Villa,1992
91,Dwight Yorke,Trinidad and Tobago,1992
92,Ugo Ehiogu,Aston Villa,1992
93,Ugo Ehiogu,England,1992
94,Frank McAvennie,Aston Villa,1992
95,Frank McAvennie,Scotland,1992
96,Dean Saunders,Aston Villa,1992
97,Dean Saunders,Wales,1992
98,David Farrell,Aston Villa,1992
99,David Farrell,England,1992
100,Mark Bosnich,Aston Villa,1992
101,Mark Bosnich,Australia,1992
102,Neil Cox,Aston Villa,1992
103,Neil Cox,England,1992
104,Matthias Breitkreutz,Aston Villa,1992
105,Matthias Breitkreutz,Germany,1992
106,Stefan Beinlich,Aston Villa,1992
107,Stefan Beinlich,Germany,1992
108,Martin Carruthers,Aston Villa,1992
109,Martin Carruthers,England,1992
110,Michael Oakes,Aston Villa,1992
111,Michael Oakes,England,1992
112,Steve Froggatt,Aston Villa,1992
113,Steve Froggatt,England,1992
114,Cyrille Regis,Aston Villa,1992
