,first_name,last_name,team_name,season
0,Mark,Noble,West Ham,2014
1,Julián,Speroni,Crystal Palace,2014
2,Isaiah,Brown,Chelsea,2014
3,Andre,Wisdom,West Brom,2014
4,Nathan Luke,Baker,Aston Villa,2014
5,Nathan,Dyer,Swansea,2014
6,Wayne,Routledge,Swansea,2014
7,Craig,Gardner,West Brom,2014
8,Modibo,Diakité,Sunderland,2014
9,Jordon,Mutch,Crystal Palace,2014
10,Adilson,Tavares Varela,Sunderland,2014
11,Brek,Shea,Stoke City,2014
12,Steve,Sidwell,Stoke City,2014
13,Clint,Hill,QPR,2014
14,Victor Chinedu,Anichebe,West Brom,2014
15,Jack Joseph,Rose,West Brom,2014
16,Jack,Barmby,Leicester,2014
17,Kevin,Nolan,West Ham,2014
18,Diego,Poyet González,West Ham,2014
19,Tony,Hibbert,Everton,2014
20,Liam,Shephard,Swansea,2014
21,Scott,Dann,Crystal Palace,2014
22,Sam,McQueen,Southampton,2014
23,Danny,Graham,Sunderland,2014
24,Callum Henry,McManaman,West Brom,2014
25,Àngel,Rangel Zaragoza,Swansea,2014
26,Billy,Jones,Sunderland,2014
27,George,Moncur,West Ham,2014
28,Lee,Cattermole,Sunderland,2014
29,Jason Sean,McCarthy,Southampton,2014
30,Dominic Edward,Gape,Southampton,2014
31,Michael,Kightly,Burnley,2014
32,Chinedum,Onuoha,QPR,2014
33,Liam,Rosenior,Hull City,2014
34,Chris,Kettings,Crystal Palace,2014
35,Jerome,Thomas,Crystal Palace,2014
36,Adam,King,Swansea,2014
37,Dionatan,do Nascimento Teixeira,Stoke City,2014
38,Aaron,Mitchell,QPR,2014
39,Daniel,Williams,Aston Villa,2014
40,Hiram Kojo Kwarteng,Boateng,Crystal Palace,2014
41,Kyle Matthew,De Silva,Crystal Palace,2014
42,Glenn,Murray,Crystal Palace,2014
43,Jason David Ian,Puncheon,Crystal Palace,2014
44,David Frank Llwyd,Jones,Burnley,2014
45,Sammy,Ameobi,Newcastle,2014
46,Will,Buckley,Sunderland,2014
47,Lewis Robert,Page,West Ham,2014
48,Luke Paul,McGee,Tottenham,2014
49,Christopher Michael,Long,Everton,2014
50,Dean,Marney,Burnley,2014
51,Maximilian Andreas,Ehmer,QPR,2014
52,Emmanuel,Rivière,Newcastle,2014
53,Sylvain,Marveaux,Newcastle,2014
54,Yoan,Gouffran,Newcastle,2014
55,Stuart Antony Alan,O'Keefe,Crystal Palace,2014
56,Alejandro Damián,Faurlin,QPR,2014
57,Emmanuel,Mayuka,Southampton,2014
58,Dean,Hammond,Leicester,2014
59,Joe,Dudgeon,Hull City,2014
60,Karim,El Ahmadi Al Aroos,Aston Villa,2014
61,Christian,Atsu Twasam,Everton,2014
62,Jake Alexander,Hesketh,Southampton,2014
63,Brandon,Comley,QPR,2014
64,Wes,Morgan,Leicester,2014
65,Matthew John,Lowton,Aston Villa,2014
66,Jed John,Steer,Aston Villa,2014
67,Jack Paul,Hunt,Crystal Palace,2014
68,Elliot Robert,Lee,West Ham,2014
69,Ryan,Taylor,Newcastle,2014
70,Conor James,Grant,Everton,2014
71,Wilson Roberto,Palacios Suazo,Stoke City,2014
72,Sulaiman Borbor,Kaikai,Crystal Palace,2014
73,Modibo,Maïga,West Ham,2014
74,Papiss Demba,Cissé,Newcastle,2014
75,Armand,Traoré,QPR,2014
76,Josmer Volmy,Altidore,Sunderland,2014
77,Jamie Michael,Sterry,Newcastle,2014
78,Tom,Thorpe,Manchester United,2014
79,Steve,Harper,Hull City,2014
80,Jason,Shackell,Burnley,2014
81,Michael,Doughty,QPR,2014
82,Rushian Marcus Amari,Hepburn-Murphy,Aston Villa,2014
83,Ryan,Huddart,Arsenal,2014
84,Ryan,Shotton,Stoke City,2014
85,Darron,Gibson,Everton,2014
86,Geoff,Cameron,Stoke City,2014
87,Paul,McShane,Hull City,2014
88,John,O'Shea,Sunderland,2014
89,Marc David,Wilson,Stoke City,2014
90,Lloyd Richard,Jones,Liverpool,2014
91,Emmanuel,Adebayor,Tottenham,2014
