,full_name,team_name,season
0,Peter Schmeichel,Man Utd,1993
1,Peter Schmeichel,Denmark,1993
2,Andrey Kanchelskis,Man Utd,1993
3,Andrey Kanchelskis,Russia,1993
4,Roy Keane,Man Utd,1993
5,Roy Keane,Ireland,1993
6,Gary Walsh,Man Utd,1993
7,Gary Walsh,England,1993
8,Bryan Robson,Man Utd,1993
9,Bryan Robson,England,1993
10,Steve Bruce,Man Utd,1993
11,Steve Bruce,England,1993
12,Paul Scholes,Man Utd,1993
13,Paul Scholes,England,1993
14,Chris Casper,Man Utd,1993
15,Chris Casper,England,1993
16,Lee Sharpe,Man Utd,1993
17,Lee Sharpe,England,1993
18,Denis Irwin,Man Utd,1993
19,Denis Irwin,Ireland,1993
20,Ben Thornley,Man Utd,1993
21,Ben Thornley,England,1993
22,Pat McGibbon,Man Utd,1993
23,Pat McGibbon,Northern Ireland,1993
24,Colin Murdock,Man Utd,1993
25,Colin Murdock,Northern Ireland,1993
26,Eric Cantona,Man Utd,1993
27,Eric Cantona,France,1993
28,Gary Neville,Man Utd,1993
29,Gary Neville,England,1993
30,Dion Dublin,Man Utd,1993
31,Dion Dublin,England,1993
32,John O'Kane,Man Utd,1993
33,John O'Kane,England,1993
34,Mark Hughes,Man Utd,1993
35,Mark Hughes,Wales,1993
36,Gary Pallister,Man Utd,1993
37,Gary Pallister,England,1993
38,Brian McClair,Man Utd,1993
39,Brian McClair,Scotland,1993
40,Paul Parker,Man Utd,1993
41,Paul Parker,England,1993
42,Colin McKee,Man Utd,1993
43,Colin McKee,Scotland,1993
44,Neil Whitworth,Man Utd,1993
45,Neil Whitworth,England,1993
46,David Beckham,Man Utd,1993
47,David Beckham,England,1993
48,Nicky Butt,Man Utd,1993
49,Nicky Butt,England,1993
50,Ryan Giggs,Man Utd,1993
51,Ryan Giggs,Wales,1993
52,Paul Ince,Man Utd,1993
53,Paul Ince,England,1993
54,Mike Phelan,Man Utd,1993
55,Mike Phelan,England,1993
56,Lee Martin,Man Utd,1993
57,Lee Martin,England,1993
58,Les Sealey,Man Utd,1993
59,Les Sealey,England,1993
60,Clayton Blackmore,Man Utd,1993
61,Clayton Blackmore,Wales,1993
62,Craig Lawton,Man Utd,1993
63,Craig Lawton,Wales,1993
64,Keith Gillespie,Man Utd,1993
65,Keith Gillespie,Northern Ireland,1993
66,Darren Ferguson,Man Utd,1993
67,Darren Ferguson,Scotland,1993
68,Kevin Moran,Blackburn,1993
69,Kevin Moran,Ireland,1993
70,Tim Flowers,Blackburn,1993
71,Tim Flowers,England,1993
72,Frank Talia,Blackburn,1993
73,Frank Talia,Australia,1993
74,Henning Berg,Blackburn,1993
75,Henning Berg,Norway,1993
76,David May,Blackburn,1993
77,David May,England,1993
78,Graeme Le Saux,Blackburn,1993
79,Graeme Le Saux,England,1993
80,Stuart Ripley,Blackburn,1993
81,Stuart Ripley,England,1993
82,David Batty,Blackburn,1993
83,David Batty,England,1993
84,Tim Sherwood,Blackburn,1993
85,Tim Sherwood,England,1993
86,Jason Wilcox,Blackburn,1993
87,Jason Wilcox,England,1993
88,Alan Shearer,Blackburn,1993
89,Alan Shearer,England,1993
90,Kevin Gallacher,Blackburn,1993
91,Kevin Gallacher,Scotland,1993
92,Mike Newell,Blackburn,1993
93,Mike Newell,England,1993
94,Colin Hendry,Blackburn,1993
95,Colin Hendry,Scotland,1993
96,Bobby Mimms,Blackburn,1993
97,Bobby Mimms,England,1993
98,Mark Atkins,Blackburn,1993
99,Mark Atkins,England,1993
100,Alan Wright,Blackburn,1993
101,Alan Wright,England,1993
102,Paul Warhurst,Blackburn,1993
103,Paul Warhurst,England,1993
104,Ian Pearce,Blackburn,1993
105,Ian Pearce,England,1993
106,Andy Morrison,Blackburn,1993
107,Andy Morrison,Scotland,1993
108,Patrik Andersson,Blackburn,1993
109,Patrik Andersson,Sweden,1993
110,Lee Makel,Blackburn,1993
111,Lee Makel,England,1993
112,Nicky Marker,Blackburn,1993
113,Nicky Marker,England,1993
114,Richard Brown,Blackburn,1993
115,Richard Brown,England,1993
116,Simon Ireland,Blackburn,1993
117,Simon Ireland,England,1993
118,Tony Dobson,Blackburn,1993
119,Tony Dobson,England,1993
120,Pavel Srnicek,Newcastle,1993
121,Pavel Srnicek,Czech Republic,1993
122,Matty Appleby,Newcastle,1993
123,Matty Appleby,England,1993
124,Brian Reid,Newcastle,1993
125,Brian Reid,Scotland,1993
126,John Beresford,Newcastle,1993
127,John Beresford,England,1993
128,Mike Hooper,Newcastle,1993
129,Mike Hooper,England,1993
130,Paul Bracewell,Newcastle,1993
131,Paul Bracewell,England,1993
132,Ruel Fox,Newcastle,1993
133,Ruel Fox,Montserrat,1993
134,Steve Howey,Newcastle,1993
135,Steve Howey,England,1993
136,Rob Lee,Newcastle,1993
137,Rob Lee,England,1993
138,Peter Beardsley,Newcastle,1993
139,Peter Beardsley,England,1993
140,Andy Cole,Newcastle,1993
141,Andy Cole,England,1993
142,Lee Clark,Newcastle,1993
143,Lee Clark,England,1993
144,Scott Sellars,Newcastle,1993
145,Scott Sellars,England,1993
146,Alex Mathie,Newcastle,1993
147,Alex Mathie,Scotland,1993
148,Darren Peacock,Newcastle,1993
149,Darren Peacock,England,1993
150,Liam O'Brien,Newcastle,1993
151,Liam O'Brien,Ireland,1993
152,Nikodimos Papavasiliou,Newcastle,1993
153,Nikodimos Papavasiliou,Cyprus,1993
154,Steve Watson,Newcastle,1993
155,Steve Watson,England,1993
156,Alan Neilson,Newcastle,1993
157,Alan Neilson,Wales,1993
158,Malcolm Allen,Newcastle,1993
159,Malcolm Allen,Wales,1993
160,Robbie Elliott,Newcastle,1993
161,Robbie Elliott,England,1993
162,Barry Venison,Newcastle,1993
163,Barry Venison,England,1993
164,John Burridge,Newcastle,1993
165,John Burridge,England,1993
166,Kevin Scott,Newcastle,1993
167,Kevin Scott,England,1993
168,Michael Jeffrey,Newcastle,1993
169,Michael Jeffrey,England,1993
170,Brian Kilcline,Newcastle,1993
171,Brian Kilcline,England,1993
172,Mark Robinson,Newcastle,1993
173,Mark Robinson,England,1993
174,Kevin Brock,Newcastle,1993
175,Kevin Brock,England,1993
176,Richard Appleby,Newcastle,1993
177,Richard Appleby,England,1993
178,Chris Holland,Newcastle,1993
179,Chris Holland,England,1993
180,Tommy Wright,Newcastle,1993
181,Tommy Wright,Northern Ireland,1993
182,David Seaman,Arsenal,1993
183,David Seaman,England,1993
184,Paul Dickov,Arsenal,1993
185,Paul Dickov,Scotland,1993
186,Alan Miller,Arsenal,1993
187,Alan Miller,England,1993
188,Tony Adams,Arsenal,1993
189,Tony Adams,England,1993
190,Ian Wright,Arsenal,1993
191,Ian Wright,England,1993
192,Steve Bould,Arsenal,1993
193,Steve Bould,England,1993
194,Neil Heaney,Arsenal,1993
195,Neil Heaney,England,1993
196,Martin Keown,Arsenal,1993
197,Martin Keown,England,1993
198,Andy Linighan,Arsenal,1993
199,Andy Linighan,England,1993
200,Steve Morrow,Arsenal,1993
201,Steve Morrow,Northern Ireland,1993
202,Lee Dixon,Arsenal,1993
203,Lee Dixon,England,1993
204,Nigel Winterburn,Arsenal,1993
