,full_name,team_name,season
0,David Seaman,Arsenal,2001
1,David Seaman,England,2001
2,Patrick Vieira,Arsenal,2001
3,Patrick Vieira,France,2001
4,Stuart Taylor,Arsenal,2001
5,Stuart Taylor,England,2001
6,Dennis Bergkamp,Arsenal,2001
7,Dennis Bergkamp,Netherlands,2001
8,Richard Wright,Arsenal,2001
9,Richard Wright,England,2001
10,Thierry Henry,Arsenal,2001
11,Thierry Henry,France,2001
12,Tony Adams,Arsenal,2001
13,Tony Adams,England,2001
14,Francis Jeffers,Arsenal,2001
15,Francis Jeffers,England,2001
16,Sol Campbell,Arsenal,2001
17,Sol Campbell,England,2001
18,Nwankwo Kanu,Arsenal,2001
19,Nwankwo Kanu,Nigeria,2001
20,Ashley Cole,Arsenal,2001
21,Ashley Cole,England,2001
22,Sylvain Wiltord,Arsenal,2001
23,Sylvain Wiltord,France,2001
24,Lee Dixon,Arsenal,2001
25,Lee Dixon,England,2001
26,Martin Keown,Arsenal,2001
27,Martin Keown,England,2001
28,Oleg Luzhnyi,Arsenal,2001
29,Oleg Luzhnyi,Ukraine,2001
30,Igors Stepanovs,Arsenal,2001
31,Igors Stepanovs,Latvia,2001
32,Matthew Upson,Arsenal,2001
33,Matthew Upson,England,2001
34,Gilles Grimandi,Arsenal,2001
35,Gilles Grimandi,France,2001
36,Junichi Inamoto,Arsenal,2001
37,Junichi Inamoto,Japan,2001
38,Laurén,Arsenal,2001
39,Laurén,Cameroon,2001
40,Freddie Ljungberg,Arsenal,2001
41,Freddie Ljungberg,Sweden,2001
42,Ray Parlour,Arsenal,2001
43,Ray Parlour,England,2001
44,Jermaine Pennant,Arsenal,2001
45,Jermaine Pennant,England,2001
46,Robert Pirès,Arsenal,2001
47,Robert Pirès,France,2001
48,Giovanni van Bronckhorst,Arsenal,2001
49,Giovanni van Bronckhorst,Netherlands,2001
50,Edú Gaspar,Arsenal,2001
51,Edú Gaspar,Brazil,2001
52,Jérémie Aliadière,Arsenal,2001
53,Jérémie Aliadière,France,2001
54,Stathis Tavlaridis,Arsenal,2001
55,Stathis Tavlaridis,Greece,2001
56,John Halls,Arsenal,2001
57,John Halls,England,2001
58,Carlin Itonga,Arsenal,2001
59,Carlin Itonga,DR Congo,2001
60,Rohan Ricketts,Arsenal,2001
61,Rohan Ricketts,England,2001
62,Sebastian Svärd,Arsenal,2001
63,Sebastian Svärd,Denmark,2001
64,Juan,Arsenal,2001
65,Juan,Brazil,2001
66,Kolo Touré,Arsenal,2001
67,Kolo Touré,Cote d'Ivoire,2001
68,Graham Stack,Arsenal,2001
69,Graham Stack,Ireland,2001
70,Moritz Volz,Arsenal,2001
71,Moritz Volz,Germany,2001
72,Craig Holloway,Arsenal,2001
73,Craig Holloway,England,2001
74,Jerzy Dudek,Liverpool,2001
75,Jerzy Dudek,Poland,2001
76,Chris Kirkland,Liverpool,2001
77,Chris Kirkland,England,2001
78,Stéphane Henchoz,Liverpool,2001
79,Stéphane Henchoz,Switzerland,2001
80,Patrik Berger,Liverpool,2001
81,Patrik Berger,Czech Republic,2001
82,Sami Hyypiä,Liverpool,2001
83,Sami Hyypiä,Finland,2001
84,Richie Partridge,Liverpool,2001
85,Richie Partridge,Ireland,2001
86,Emile Heskey,Liverpool,2001
87,Emile Heskey,England,2001
88,Michael Owen,Liverpool,2001
89,Michael Owen,England,2001
90,Danny Murphy,Liverpool,2001
91,Danny Murphy,England,2001
92,Dietmar Hamann,Liverpool,2001
93,Dietmar Hamann,Germany,2001
94,Steven Gerrard,Liverpool,2001
95,Steven Gerrard,England,2001
96,Gary McAllister,Liverpool,2001
97,Gary McAllister,Scotland,2001
98,Jamie Carragher,Liverpool,2001
99,Jamie Carragher,England,2001
100,Grégory Vignal,Liverpool,2001
101,Grégory Vignal,France,2001
102,Pegguy Arphexad,Liverpool,2001
103,Pegguy Arphexad,France,2001
104,Robbie Fowler,Liverpool,2001
105,Robbie Fowler,England,2001
106,Jamie Redknapp,Liverpool,2001
107,Jamie Redknapp,England,2001
108,John Arne Riise,Liverpool,2001
109,John Arne Riise,Norway,2001
110,Nick Barmby,Liverpool,2001
111,Nick Barmby,England,2001
112,Igor Biscan,Liverpool,2001
113,Igor Biscan,Croatia,2001
114,Jari Litmanen,Liverpool,2001
115,Jari Litmanen,Finland,2001
116,Vladimir Smicer,Liverpool,2001
117,Vladimir Smicer,Czech Republic,2001
118,Stephen Wright,Liverpool,2001
119,Stephen Wright,England,2001
120,Abel Xavier,Liverpool,2001
121,Abel Xavier,Portugal,2001
122,Sander Westerveld,Liverpool,2001
123,Sander Westerveld,Netherlands,2001
124,Markus Babbel,Liverpool,2001
125,Markus Babbel,Germany,2001
