,full_name,team_name,first_season,last_season
624,Alan Maybury,Ireland,1996,1996
1106,Alan Moore,Ireland,1996,1996
233,Andy Townsend,Ireland,1996,1996
1098,Anthony Ormerod,Ireland,1996,1996
959,Barry Prenderville,Ireland,1996,1996
411,Brendan Murphy,Ireland,1996,1996
1126,Chris Morris,Ireland,1996,1996
963,Colin Hawkins,Ireland,1996,1996
1108,Curtis Fleming,Ireland,1996,1996
718,Damien Duff,Ireland,1996,1996
1015,David Kelly,Ireland,1996,1996
3,Denis Irwin,Ireland,1996,1996
145,Eddie McGoldrick,Ireland,1996,1996
265,Gareth Farrelly,Ireland,1996,1996
1001,Gary Breen,Ireland,1996,1996
586,Gary Kelly,Ireland,1996,1996
590,Ian Harte,Ireland,1996,1996
187,Jason McAteer,Ireland,1996,1996
712,Jeff Kenna,Ireland,1996,1996
87,Jim Crawford,Ireland,1996,1996
347,John Sheridan,Ireland,1996,1996
433,Jon Goodman,Ireland,1996,1996
57,Jon Macken,Ireland,1996,1996
401,Kenny Cunningham,Ireland,1996,1996
683,Lee Carsley,Ireland,1996,1996
1003,Liam Daish,Ireland,1996,1996
1005,Lorcan Costello,Ireland,1996,1996
185,Mark Kennedy,Ireland,1996,1996
644,Mauricio Solís,Costa Rica,1996,1996
947,Mickey Evans,Ireland,1996,1996
564,Neale Fenn,Ireland,1996,1996
1039,Niall Quinn,Ireland,1996,1996
313,Nick Colgan,Ireland,1996,1996
231,Paul McGrath,Ireland,1996,1996
656,Paulo Wanchope,Costa Rica,1996,1996
195,Phil Babb,Ireland,1996,1996
865,Richard Dunne,Ireland,1996,1996
15,Roy Keane,Ireland,1996,1996
740,Shay Given,Ireland,1996,1996
533,Simon Webb,Ireland,1996,1996
517,Stephen Carr,Ireland,1996,1996
241,Steve Staunton,Ireland,1996,1996
291,Terry Phelan,Ireland,1996,1996
993,Willie Boland,Ireland,1996,1996
