,first_name,last_name,team_name,season
0,Paul Labile,Pogba,Manchester United,2021
1,Emmanuel Okokon,Idem,Swindon Town,2021
2,Ademola Lookman Olajade,Alade Aylola Lookman,Leicester,2021
3,Mark,Noble,West Ham,2021
4,Jerome,Sinclair,Watford,2021
5,Brian,Graham,Partick,2021
6,Ciaran,McKenna,Partick,2021
7,Moisés Isaac,Caicedo Corozo,Brighton,2021
8,Matthew Ben,Longstaff,Newcastle,2021
9,Faustino Adebola Rasheed,Anjorin,Chelsea,2021
10,Ebeguowen,Otasowie,Wolves,2021
11,Daniel,Chesters,West Ham,2021
12,Joseph Alan,Willis,Walsall,2021
13,Jack,Jenkins,Leeds,2021
14,Harvey Antonio,Blair,Liverpool,2021
15,Sam William John,Waller,Burnley,2021
16,Kaide,Gordon,Liverpool,2021
17,James,Lee Storer,Wolves,2021
18,Jayden,Danns,Liverpool,2021
19,Jacob,Bunch,Swindon Town,2021
20,Benjamin Thomas,Davies,Tottenham,2021
21,Job Joël André,Matip,Liverpool,2021
22,Enock,Mwepu,Brighton,2021
23,Filip,Benković,Leicester,2021
24,Ibrahima,Konaté,Liverpool,2021
25,Héctor Junior,Firpo Adames,Leeds,2021
26,Bruno André,Cavaco Jordão,Wolves,2021
27,Kelechi Promise,Ịheanachọ,Leicester,2021
28,Cristian Gabriel,Romero,Tottenham,2021
29,Stuart,Adamson McKinstry,Leeds,2021
30,Lewis Mark,Richardson,Burnley,2021
31,Nathan,Young-Coombes,Brentford,2021
32,Jamal Marcus,Baptiste,West Ham,2021
33,Charlie Jay,Whitaker,Everton,2021
34,Lucas,De Bolle,Newcastle,2021
35,Omotayo Daniel,Adaramola,Crystal Palace,2021
36,Sil,Laurentius Swinkels,Aston Villa,2021
37,Shay,Willock,Walsall,2021
38,Vincent,Angelini,Watford,2021
39,Jack,Grieves,Watford,2021
40,Aymeric Jean Louis Gérard Alph,Laporte,Manchester City,2021
41,Lee,Grant,Manchester United,2021
42,Harry,Lewis,Southampton,2021
43,Benjamin Joshua,Chrisene,Aston Villa,2021
44,Tobi,Omole,Tottenham,2021
45,Miguel,Azeez,Arsenal,2021
46,Kgaogelo,Chauke,Southampton,2021
47,Brooklyn,Lyons-Foster,Tottenham,2021
48,Jamie Patrick,Bowden,Tottenham,2021
49,Malachi Michael,Fagan-Walcott,Tottenham,2021
50,Matthew George,Craig,Tottenham,2021
51,Alfie Sean,Devine,Tottenham,2021
52,Matthew Aidan,Cox,Brentford,2021
53,Salah,Oulad M'Hand,Arsenal,2021
54,Alexander Michael,Kirk,Arsenal,2021
55,Marcelo,Flores Dorrell,Arsenal,2021
56,Reece,Belfield Welch,Everton,2021
57,Sonny,Tufail Perkins,West Ham,2021
58,Abu,Kamara,Norwich,2021
59,Lamare Trenton,Chansey Bogarde,Aston Villa,2021
60,Troy,Deeney,Watford,2021
61,Matthew John,Lowton,Burnley,2021
62,Dale,Stephens,Burnley,2021
63,Jed John,Steer,Aston Villa,2021
64,Julian Marc,Jeanvier,Brentford,2021
65,David Edward,Martin,West Ham,2021
66,Tariqe,Fosu,Brentford,2021
67,Anthony,Gomez Mancini,Burnley,2021
68,Harry Alfred,Tyrer,Everton,2021
69,Joe Peter,White,Newcastle,2021
70,Thomas,Dickson-Peters,Norwich,2021
71,Reece Phillip Peter,Hannam,Crystal Palace,2021
72,Dynel Brown,Kembo Simeu,Southampton,2021
73,Christian,Fernandes Marques,Wolves,2021
74,Chigozier Caleb,Chukwuemeka,Aston Villa,2021
75,Olatunji Oluwasehun,Akinola,Partick,2021
76,Ryan,Alebiosu,Arsenal,2021
77,Kallum Xzeiba Tracey,Cesay,Tottenham,2021
78,Robert Nicholas,Street,Crystal Palace,2021
79,Shaqai Tyreece Steven,Forde,Watford,2021
80,Oghenekaro Peter,Etebo,Watford,2021
81,Ciaran,Clark,Newcastle,2021
82,Shane Patrick,Long,Southampton,2021
83,Kyle,McAllister,Partick,2021
84,Dominic Lewis,Thompson,Brentford,2021
85,Marcel Edwin,Rodrigues Lavinier,Tottenham,2021
86,Mazeed,Ogungbo,Arsenal,2021
87,Xavier Levi,Simons,Chelsea,2021
88,Daniel Oladele,Akinbiyi Oyegoke,Brentford,2021
89,Mark,Helm,Burnley,2021
90,Chem,Campbell,Wolves,2021
91,Finley Jack,Burns,Manchester City,2021
92,Edmond-Paris,Maghoma,Brentford,2021
93,Conor,Bradley,Liverpool,2021
94,Harvey James,Vale,Chelsea,2021
95,Edward James,Turns,Brighton,2021
96,James,Balagizi,Liverpool,2021
97,Jude Jacob,Soonsup-Bell,Chelsea,2021
98,Zachariah Olumide,Awe,Arsenal,2021
99,Kayky,da Silva Chagas,Manchester City,2021
100,David,de Gea Quintana,Manchester United,2021
101,Juan Manuel,Mata García,Manchester United,2021
102,Wilfredo Daniel,Caballero Lazcano,Southampton,2021
103,Frederik,Alves Ibsen,West Ham,2021
104,James,McFarlane McArthur,Crystal Palace,2021
105,Daniel,Gosling,Watford,2021
106,Phil,Bardsley,Burnley,2021
107,Axel,Tuanzebe,Aston Villa,2021
108,Luka,Račić,Brentford,2021
109,Jan,Žambůrek,Brentford,2021
110,Winston Wiremu,Reid,West Ham,2021
111,Andreas,Søndergaard,Wolves,2021
112,Liam John,Hughes,Liverpool,2021
113,Zachary,Swanson,Arsenal,2021
114,Kwadwo,Kyeremeh Baah,Watford,2021
115,Marc Henry,Leonard,Brighton,2021
116,Finley,Stevens,Brentford,2021
117,Charlie William Henry,Savage,Manchester United,2021
118,Hayden,Taylor Lindley,Aston Villa,2021
119,Tiago Süer Barbaros,Çukur,Watford,2021
120,Daniel Lee,Rose,Watford,2021
121,Fabian,Delph,Everton,2021
122,Phil Anthony,Jones,Manchester United,2021
123,Jesse Ellis,Lingard,Manchester United,2021
124,Kasper Peter,Schmeichel,Leicester,2021
125,William James,Norris,Burnley,2021
126,Theo James,Walcott,Southampton,2021
127,Nampalys,Mendy,Leicester,2021
128,Benjamin Anthony,Foster,Watford,2021
129,Thomas William,Cleverley,Watford,2021
130,Andros Darryl,Townsend,Everton,2021
131,Aaron,Lennon,Burnley,2021
132,Ryan Dominic,Bertrand,Leicester,2021
133,Conor,Hourihane,Aston Villa,2021
134,Alexander Louis,Jakubiak,Partick,2021
135,Cameron,Smith,Partick,2021
136,Darren,Brownlie,Partick,2021
137,Daniel David,Langley,Newcastle,2021
138,Derek,Agyakwa,Watford,2021
139,Kamil Amadu,Conteh,Watford,2021
140,Fernando,Marçal de Oliveira,Wolves,2021
141,Jonas,Bybjerg Lössl,Brentford,2021
142,Gylfi Þór,Sigurðsson,Everton,2021
143,Otis Jan,Mohammed Khan,Walsall,2021
144,Liam,McCarron,Leeds,2021
145,Craig George,Cathcart,Watford,2021
146,Robert,Elliot,Watford,2021
147,Mohamed Amine,Elyounoussi,Southampton,2021
148,Kalvin Mark,Phillips,Leeds,2021
149,Mads,Bech Sørensen,Brentford,2021
150,David,Raya Martin,Brentford,2021
151,Nicolas Julio,Nkoulou Ndoubena,Watford,2021
152,Maksim,Paskotši,Tottenham,2021
153,Thomas David,Allan,Newcastle,2021
154,Lewis,Brunt,Leicester,2021
155,Louie,Moulden,Wolves,2021
156,Viljami Kari Veikko,Sinisalo,Aston Villa,2021
157,Teddy Samuel,Sharman-Lowe,Chelsea,2021
158,Lewis,Gordon,Brentford,2021
159,Nohan,Kenneh,Leeds,2021
