,full_name,team_name,first_season,last_season
131,Anderson Silva de França,Barnsley,2008,2008
5,Andréa Mbuyi,Portsmouth,2008,2008
134,Angelos Basinas,Portsmouth,2008,2008
86,Armand Traoré,Portsmouth,2008,2008
68,Arnold Mvuemba,Portsmouth,2008,2008
549,Asmir Begović,Portsmouth,2008,2008
347,Ben Sahar,Portsmouth,2008,2008
381,David Nugent,Portsmouth,2008,2008
73,Djimi Traoré,Portsmouth,2008,2008
431,Glen Johnson,Portsmouth,2008,2008
330,Jacob Luke Butterfield,Barnsley,2008,2008
57,Jamie Ashdown,Portsmouth,2008,2008
349,Jermaine Pennant,Portsmouth,2008,2008
30,Jerome Thomas,Portsmouth,2008,2008
492,John Chukwudi Utaka,Portsmouth,2008,2008
504,Lassana Diarra,Portsmouth,2008,2008
125,Marc David Wilson,Portsmouth,2008,2008
21,Martin Cranie,Portsmouth,2008,2008
88,Mounir El Haimour,Barnsley,2008,2008
248,Nadir Belhadj,Portsmouth,2008,2008
220,Neal James Eardley,Oldham,2008,2008
353,Niko Kranjčar,Portsmouth,2008,2008
36,Noé Elias Pamarot,Portsmouth,2008,2008
95,Nwankwo Christian Kanu,Portsmouth,2008,2008
98,Papa Bouba Diop,Portsmouth,2008,2008
424,Peter Crouch,Portsmouth,2008,2008
198,Richard Hughes,Portsmouth,2008,2008
38,Sean Davis,Portsmouth,2008,2008
313,Sylvain Distin,Portsmouth,2008,2008
133,Theofanis Gekas,Portsmouth,2008,2008
446,Younes Kaboul,Portsmouth,2008,2008
