,full_name,team_name,first_season,last_season
909,Alan Kernaghan,Ireland,1994,1994
948,Andy Townsend,Ireland,1994,1994
387,Andy Turner,Ireland,1994,1994
1025,Bobby Bowry,St. Kitts & Nevis,1994,1994
498,Brendan Murphy,Ireland,1994,1994
1105,Brian Carey,Ireland,1994,1994
1038,Brian Launders,Ireland,1994,1994
263,David O'Leary,Ireland,1994,1994
73,Denis Irwin,Ireland,1994,1994
610,Eddie McGoldrick,Ireland,1994,1994
233,Gary Kelly,Ireland,1994,1994
7,Jeff Kenna,Ireland,1994,1994
705,John Sheridan,Ireland,1994,1994
443,Jon Goodman,Ireland,1994,1994
1080,Keith O'Neill,Ireland,1994,1994
447,Kenny Cunningham,Ireland,1994,1994
219,Mark Kennedy,Ireland,1994,1994
777,Matthew Rush,Ireland,1994,1994
1074,Mike Milligan,Ireland,1994,1994
899,Niall Quinn,Ireland,1994,1994
581,Nick Colgan,Ireland,1994,1994
946,Paul McGrath,Ireland,1994,1994
175,Phil Babb,Ireland,1994,1994
944,Ray Houghton,Ireland,1994,1994
61,Roy Keane,Ireland,1994,1994
492,Scott Fitzgerald,Ireland,1994,1994
1,Shay Given,Ireland,1994,1994
337,Stephen Carr,Ireland,1994,1994
953,Steve Staunton,Ireland,1994,1994
891,Terry Phelan,Ireland,1994,1994
854,Willie Boland,Ireland,1994,1994
