,first_name,last_name,team_name,season
0,Rafael Euclides,Soares Camacho,Liverpool,2017
1,Georginio Gregion Emile,Wijnaldum,Liverpool,2017
2,Aymeric Jean Louis Gérard Alph,Laporte,Manchester City,2017
3,Zachary Harry,Dearnley,Manchester United,2017
4,Jamie Lee Peter,Turley,Boreham Wood,2017
5,Mateusz Tomasz,Hewelt,Everton,2017
6,Ademola Lookman Olajade,Alade Aylola Lookman,Everton,2017
7,Mark,Noble,West Ham,2017
8,Jack Benjamin,Simpson,Bournemouth,2017
9,Bruno,Saltor Grau,Brighton,2017
10,Isaiah,Brown,Brighton,2017
11,Nathan,Dyer,Swansea,2017
12,Wayne,Routledge,Swansea,2017
13,Marvin,Zeegelaar,Watford,2017
14,Vashon,Neufville,West Ham,2017
15,Erbil,Bozkurt,Boreham Wood,2017
16,Steve,Sidwell,Brighton,2017
17,Stuart,Taylor,Southampton,2017
18,Soufyan,Ahannach,Brighton,2017
19,Alexander James,Denny,Everton,2017
20,Lee,Grant,Stoke City,2017
21,Jesé,Rodríguez Ruiz,Stoke City,2017
22,Roque,Mesa Quevedo,Swansea,2017
23,Julián,Speroni,Crystal Palace,2017
24,Charlie John,Daniels,Bournemouth,2017
25,Simon,Francis,Bournemouth,2017
26,Kyle Frazer,Taylor,Bournemouth,2017
27,Max Harrison,Sanders,Brighton,2017
28,Joel,Coleman,Huddersfield,2017
29,Martin,Cranie,Huddersfield,2017
30,Marc,Pugh,Bournemouth,2017
31,Moritz,Bauer,Stoke City,2017
32,Connor Anthony,Mahoney,Bournemouth,2017
33,Callum Henry,McManaman,West Brom,2017
34,Àngel,Rangel Zaragoza,Swansea,2017
35,Sam,Baldock,Brighton,2017
36,Jordon,Mutch,Crystal Palace,2017
37,Liam,Rosenior,Brighton,2017
38,Jesús,Gámez Duarte,Newcastle,2017
39,Michael,Collins,Everton,2017
40,Hiram Kojo Kwarteng,Boateng,Crystal Palace,2017
41,Kusu Moses,Makasi,West Ham,2017
42,Oliver John,Harfield,Bournemouth,2017
43,Dan,Woodards,Boreham Wood,2017
44,Troy,Deeney,Watford,2017
45,Scott,Dann,Crystal Palace,2017
46,Andrew,Surman,Bournemouth,2017
47,Dale,Stephens,Brighton,2017
48,Glenn,Murray,Brighton,2017
49,Jason David Ian,Puncheon,Crystal Palace,2017
50,Scott Liam,Malone,Huddersfield,2017
51,Sam,McQueen,Southampton,2017
52,Benjamin,Watson,Watford,2017
53,Brandon Alexander,Mason,Watford,2017
54,William,Miller,Tottenham,2017
55,Dean,Marney,Burnley,2017
56,Emmanuel,Rivière,Newcastle,2017
57,Jérémy,Pied,Southampton,2017
58,Paul,Benson,Boreham Wood,2017
59,Adam,King,Swansea,2017
60,Christian,Atsu Twasam,Newcastle,2017
61,Jaden Wavey,Brown,Tottenham,2017
62,Kane Leo,Wilson,West Brom,2017
63,Wes,Morgan,Leicester,2017
64,Levi Jeremiah,Lumeka,Crystal Palace,2017
65,Matthew John,Lowton,Burnley,2017
66,El-Hadji Baye Oumar,Niasse,Everton,2017
67,Rekeem Jordan,Harper,West Brom,2017
68,Jonathan Kisolokele,Leko,West Brom,2017
69,Sam,Clucas,Swansea,2017
70,Geoff,Cameron,Stoke City,2017
71,Ethan Billy,Hamilton,Manchester United,2017
72,Sulaiman Borbor,Kaikai,Crystal Palace,2017
73,Diafra,Sakho,West Ham,2017
74,Jamie Michael,Sterry,Newcastle,2017
75,Rohan Greg,Ince,Brighton,2017
76,James Stanley,Daly,Crystal Palace,2017
77,Max,Melbourne,West Brom,2017
78,Tashan,Oakley-Boothe,Tottenham,2017
79,Morgan,Feeney,Everton,2017
80,Michel,Vorm,Tottenham,2017
81,Orestis Spyridon,Karnezis,Watford,2017
82,Gareth,McAuley,West Brom,2017
83,Maarten,Stekelenburg,Everton,2017
84,Miguel Ángel,Britos Cabrera,Watford,2017
85,Daryl,Janmaat,Watford,2017
86,Artur,Boruc,Bournemouth,2017
87,Ciaran,Clark,Newcastle,2017
88,Stephen Robert,Ward,Burnley,2017
89,Shane Patrick,Long,Southampton,2017
90,Beram,Kayal,Brighton,2017
91,Harry Nicholas,Arter,Bournemouth,2017
92,Chris,Brunt,West Brom,2017
93,Lasse,Sørensen,Stoke City,2017
94,Tomer,Hemed,Brighton,2017
95,Eduardo,dos Reis Carvalho,Chelsea,2017
96,Ibrahim,Afellay,Stoke City,2017
97,Jonathan,Walters,Burnley,2017
98,Robert,Huth,Leicester,2017
99,Florin,Gardoș,Southampton,2017
100,Francesc,Fàbregas i Soler,Chelsea,2017
101,Fernando Javier,Llorente Torres,Tottenham,2017
102,David Josué,Jiménez Silva,Manchester City,2017
103,David,de Gea Quintana,Manchester United,2017
104,Juan Manuel,Mata García,Manchester United,2017
105,Ignacio,Monreal Eraso,Arsenal,2017
106,Danny,Simpson,Leicester,2017
107,Robert,Snodgrass,West Ham,2017
108,James,McFarlane McArthur,Crystal Palace,2017
109,Phil,Bardsley,Burnley,2017
110,Glyn Oliver,Myhill,West Brom,2017
111,James,Morrison,West Brom,2017
112,Thomas Henry Alex,Robson-Kanu,West Brom,2017
113,Costel Fane,Pantilimon,Watford,2017
114,Molla,Wagué,Watford,2017
115,Samuel Michael,Vokes,Burnley,2017
116,James,Collins,West Ham,2017
117,Jonathan Peter,Williams,Crystal Palace,2017
118,José Leonardo,Ulloa,Brighton,2017
119,Samuel Joseph,Hughes,Leicester,2017
120,Sergio Leonel,Agüero del Castillo,Manchester City,2017
121,Mesut,Özil,Arsenal,2017
122,Wilfredo Daniel,Caballero Lazcano,Chelsea,2017
123,Roberto Maximiliano,Pereyra,Watford,2017
124,Mark,Birighitti,Swansea,2017
125,Christian,Fuchs,Leicester,2017
126,Pablo Javier,Zabaleta Girod,West Ham,2017
127,Aaron Frank,Mooy,Huddersfield,2017
128,Yohan,Benalouane,Leicester,2017
129,Claudio Ariel,Yacob,West Brom,2017
130,Achraf,Lazaar,Newcastle,2017
131,Ashley,Williams,Everton,2017
132,Charles Graham,Adam,Stoke City,2017
133,Bojan,Krkić Pérez,Stoke City,2017
134,Josh,Knight,Leicester,2017
135,Marcus,Browne,West Ham,2017
136,Jerome,Sinclair,Watford,2017
137,Markus,Suttner,Brighton,2017
138,Ádám,Bogdán,Liverpool,2017
139,Per,Mertesacker,Arsenal,2017
140,Eden Michael Walter,Hazard,Chelsea,2017
141,Mousa Sidi Yaya,Dembélé,Tottenham,2017
142,Diego,Cavalieri,Crystal Palace,2017
143,Heurelho,da Silva Gomes,Watford,2017
144,Daniel,Gosling,Bournemouth,2017
145,Jordon,Ibe,Bournemouth,2017
146,Felix Junior,Stanislas,Bournemouth,2017
147,Steven Arnold,Defour,Burnley,2017
148,Chris Jörg,Löwe,Huddersfield,2017
149,Laurent,Depoitre,Huddersfield,2017
150,Axel,Tuanzebe,Manchester United,2017
151,Joshua Oghenetega Peter,Onomah,Tottenham,2017
152,Darren,Fletcher,Stoke City,2017
153,Collin,Quaner,Huddersfield,2017
154,Uwe,Hünemeier,Brighton,2017
155,Kevin Antonio Joel Gislain,Mirallas y Castillo,Everton,2017
156,Charly,Musonda Junior,Chelsea,2017
157,Zlatan,Ibrahimović,Manchester United,2017
158,Stephen,Ireland,Stoke City,2017
159,Winston Wiremu,Reid,West Ham,2017
160,Yannick,Bolasie Yala,Everton,2017
161,Shkodran,Mustafi,Arsenal,2017
162,Benik Tunani,Afobe,Bournemouth,2017
163,Gaëtan,Bong Songo,Brighton,2017
164,José Heriberto,Izquierdo Mena,Brighton,2017
165,Daniel,Williams,Huddersfield,2017
166,Elias,Kachunga,Huddersfield,2017
167,Rayhaan Rahim Amari,Tulloch,West Brom,2017
168,Thomas James,Carroll,Swansea,2017
169,Muhamed,Bešić,Everton,2017
170,Michael,Hefele,Huddersfield,2017
171,Rolando James,Aarons,Newcastle,2017
172,Kazenga,LuaLua,Brighton,2017
173,Luke Samuel,Garbutt,Everton,2017
174,Michael Kwaku,Foli Folivi,Watford,2017
175,Brice,Dja Djédjé,Watford,2017
176,Leon,Britton,Swansea,2017
177,Damien,Delaney,Crystal Palace,2017
178,James Alexander David,Tilley,Brighton,2017
179,Desmond,Hutchinson,Brighton,2017
180,Luis Antonio,Valencia Mosquera,Manchester United,2017
181,Petr,Čech,Arsenal,2017
182,Kyle Alexander,Jameson,West Brom,2017
183,Regan,Booty,Huddersfield,2017
184,Andrew,Eleftheriou,Watford,2017
185,Dion-Curtis,Henry,Crystal Palace,2017
186,Nampalys,Mendy,Leicester,2017
187,Sebastian,Prödl,Watford,2017
188,Anders,Rosenkrantz Lindegaard,Burnley,2017
189,Kieran James Ricardo,Gibbs,West Brom,2017
190,Thibaud Christa Philippe,Verlinden,Stoke City,2017
191,Richard Patrick,Towell,Brighton,2017
192,Harry Charles,Bunn,Huddersfield,2017
193,Fousseni,Diabaté,Leicester,2017
194,Anthony Michael,Georgiou,Tottenham,2017
195,Daniel,Holman,Boreham Wood,2017
196,Dean,Wells,Boreham Wood,2017
197,Conor Ciaran,Masterson,Liverpool,2017
198,Alexander,Manninger,Liverpool,2017
199,Tyreke,Wilson,Manchester City,2017
200,Daniel Lee,Rose,Tottenham,2017
201,Phil Anthony,Jones,Manchester United,2017
202,Jesse Ellis,Lingard,Manchester United,2017
203,Jonathon Patrick,Flanagan,Liverpool,2017
204,Gary,Cahill,Chelsea,2017
205,Daniel Noel,Drinkwater,Chelsea,2017
206,Kasper Peter,Schmeichel,Leicester,2017
207,Leighton,Baines,Everton,2017
208,Philip Nikodem,Jagielka,Everton,2017
209,Theo James,Walcott,Everton,2017
210,Thomas William,Cleverley,Watford,2017
211,Jack,Wilshere,Arsenal,2017
212,Andros Darryl,Townsend,Crystal Palace,2017
213,Ryan Dominic,Bertrand,Southampton,2017
214,Charlie,Austin,Southampton,2017
215,Alfie,Mawson,Swansea,2017
216,Gareth,Barry,West Brom,2017
217,Ryan,Shawcross,Stoke City,2017
218,Michael,Carrick,Manchester United,2017
219,Joey,Barton,Burnley,2017
220,Daniel Andre,Sturridge,West Brom,2017
221,Fabian,Delph,Manchester City,2017
222,André Morgan,Rami Ayew,Swansea,2017
223,Jermain Colin,Defoe,Bournemouth,2017
224,Robert,Green,Huddersfield,2017
225,Luke,Coddington,Huddersfield,2017
226,Ricky,Shakes,Boreham Wood,2017
227,Michael,Phillips,Crystal Palace,2017
228,Benjamin Anthony,Foster,West Brom,2017
229,Craig George,Cathcart,Watford,2017
230,José,Holebas,Watford,2017
