,full_name,team_name,season
0,Owen Hargreaves,Man Utd,2007
1,Owen Hargreaves,England,2007
2,Tomasz Kuszczak,Man Utd,2007
3,Tomasz Kuszczak,Poland,2007
4,Rio Ferdinand,Man Utd,2007
5,Rio Ferdinand,England,2007
6,Wayne Rooney,Man Utd,2007
7,Wayne Rooney,England,2007
8,Mikaël Silvestre,Man Utd,2007
9,Mikaël Silvestre,France,2007
10,Paul Scholes,Man Utd,2007
11,Paul Scholes,England,2007
12,Gary Neville,Man Utd,2007
13,Gary Neville,England,2007
14,Wes Brown,Man Utd,2007
15,Wes Brown,England,2007
16,Ryan Giggs,Man Utd,2007
17,Ryan Giggs,Wales,2007
18,Edwin van der Sar,Man Utd,2007
19,Edwin van der Sar,Netherlands,2007
20,John O'Shea,Man Utd,2007
21,John O'Shea,Ireland,2007
22,Darren Fletcher,Man Utd,2007
23,Darren Fletcher,Scotland,2007
24,Michael Carrick,Man Utd,2007
25,Michael Carrick,England,2007
26,Louis Saha,Man Utd,2007
27,Louis Saha,France,2007
28,Carlos Tevez,Man Utd,2007
29,Carlos Tevez,Argentina,2007
30,Ji-sung Park,Man Utd,2007
31,Ji-sung Park,"Korea, South",2007
32,Patrice Evra,Man Utd,2007
33,Patrice Evra,France,2007
34,Cristiano Ronaldo,Man Utd,2007
35,Cristiano Ronaldo,Portugal,2007
36,Ben Foster,Man Utd,2007
37,Ben Foster,England,2007
38,Lee Martin,Man Utd,2007
39,Lee Martin,England,2007
40,Fangzhuo Dong,Man Utd,2007
41,Fangzhuo Dong,China,2007
42,Gerard Piqué,Man Utd,2007
43,Gerard Piqué,Spain,2007
44,Nemanja Vidic‎,Man Utd,2007
45,Nemanja Vidic‎,Serbia,2007
46,Chris Eagles,Man Utd,2007
47,Chris Eagles,England,2007
48,Anderson,Man Utd,2007
49,Anderson,Brazil,2007
50,Nani,Man Utd,2007
51,Nani,Portugal,2007
52,Tom Heaton,Man Utd,2007
53,Tom Heaton,England,2007
54,Danny Simpson,Man Utd,2007
55,Danny Simpson,England,2007
56,Fraizer Campbell,Man Utd,2007
57,Fraizer Campbell,England,2007
58,Jonny Evans,Man Utd,2007
59,Jonny Evans,Northern Ireland,2007
60,Darron Gibson,Man Utd,2007
61,Darron Gibson,Ireland,2007
62,Kieran Lee,Man Utd,2007
63,Kieran Lee,England,2007
64,Phil Bardsley,Man Utd,2007
65,Phil Bardsley,Scotland,2007
66,Ole Gunnar Solskjaer,Man Utd,2007
67,Ole Gunnar Solskjaer,Norway,2007
68,Danny Welbeck,Man Utd,2007
69,Danny Welbeck,England,2007
70,Febian Brandy,Man Utd,2007
71,Febian Brandy,St. Kitts & Nevis,2007
72,Richard Eckersley,Man Utd,2007
73,Richard Eckersley,England,2007
74,Sam Hewson,Man Utd,2007
75,Sam Hewson,England,2007
76,Michael Ballack,Chelsea,2007
77,Michael Ballack,Germany,2007
78,Claudio Pizarro,Chelsea,2007
79,Claudio Pizarro,Peru,2007
80,Carlo Cudicini,Chelsea,2007
81,Carlo Cudicini,Italy,2007
82,John Terry,Chelsea,2007
83,John Terry,England,2007
84,Frank Lampard,Chelsea,2007
85,Frank Lampard,England,2007
