,first_name,last_name,team_name,season
0,Mark,Noble,England,2010
1,Wayne,Routledge,England,2010
2,Craig,Gardner,England,2010
3,Ali Abdullah Harib,Al Habsi,Oman,2010
4,Nabil,El Zhar,Morocco,2010
5,Rubén,Rochina Naixes,Spain,2010
6,Ruud Jorge,Boffin,Belgium,2010
7,Stuart,Taylor,England,2010
8,Victor Chinedu,Anichebe,Nigeria,2010
9,David,Elm,Sweden,2010
10,Carlos Javier,Cuéllar Jiménez,Spain,2010
11,Ronnie,Stam,Netherlands,2010
12,Kevin,Nolan,England,2010
13,Titus Malachi,Bramble,England,2010
14,Jody,Craddock,England,2010
15,Stuart,Parnaby,England,2010
16,Jonathan,Greening,England,2010
17,David,Murphy,England,2010
18,Daniël,de Ridder,Netherlands,2010
19,Philip,Airey,England,2010
20,Andre,Wisdom,England,2010
21,Nathan Luke,Baker,England,2010
22,George,Thorne,England,2010
23,Jay Francis,Spearing,England,2010
24,James Robert,Wallace,England,2010
25,Michael,Kightly,England,2010
26,Andrew,Davies,England,2010
27,Chinedum,Onuoha,England,2010
28,Leon,Barnett,England,2010
29,Steve,Sidwell,England,2010
30,Jerome,Thomas,England,2010
31,Frank,Wiafe Danquah,Netherlands,2010
32,Tony,Hibbert,England,2010
33,Carlo,Nash,England,2010
34,Andy,Marshall,England,2010
35,Danny,Higginbotham,Gibraltar,2010
36,Oliver,Gill,England,2010
37,Marcus,Bent,England,2010
38,Adriano,Basso,Brazil,2010
39,Sean,Davis,England,2010
40,Kieran Ricardo,Agard,England,2010
41,Jose,Baxter,England,2010
42,Luke,Varney,England,2010
43,Scott,Dann,England,2010
44,Benjamin,Watson,England,2010
45,Sammy,Ameobi,England,2010
46,James,Vaughan,England,2010
47,Lee,Cattermole,England,2010
48,Ashley Thomas,Eastham,England,2010
49,Michael,Turner,England,2010
50,Anton,Ferdinand,England,2010
51,Nile,Ranger,England,2010
52,Chris,Kettings,Scotland,2010
53,Craig,Lynch,England,2010
54,Jake,Larkins,England,2010
55,Christopher,Chantler,England,2010
56,Matthew Clayton,Hill,England,2010
57,Péter,Kurucz,Hungary,2010
58,Dave,Kitson,England,2010
59,Dylan,Tombides,Australia,2010
60,Asamoah,Gyan,Ghana,2010
61,Adam,Buxton,England,2010
62,Marc-Antoine,Fortuné,France,2010
63,Jason David Ian,Puncheon,England,2010
64,David Frank Llwyd,Jones,England,2010
65,Eric,Lichaj,USA,2010
66,Liam,Ridgewell,England,2010
67,Ryan,Tunnicliffe,England,2010
68,Ole,Söderberg,Sweden,2010
69,Adam Michael,Reed,Philippines,2010
70,Nigel,Reo-Coker,England,2010
71,Alex,Tchuimeni-Nimely,Liberia,2010
72,Lauri,Dalla Valle,Finland,2010
73,Steve,Harper,England,2010
74,Abdoulaye,Diagne-Fayé,Senegal,2010
75,Dickson Paul,Etuhu,Nigeria,2010
76,Salif Alassane,Diao,Senegal,2010
77,Ricardo,Fuller,Jamaica,2010
78,Joe,Dudgeon,Northern Ireland,2010
79,Daniel,Coid,England,2010
80,Roger,Johnson,England,2010
81,Ryan,Taylor,England,2010
82,Tom,Soares,England,2010
83,Wilson Roberto,Palacios Suazo,Honduras,2010
84,Hendry Bernardo,Thomas Suazo,Honduras,2010
