,full_name,team_name,season
0,Fabien Barthez,Man Utd,2000
1,Fabien Barthez,France,2000
2,Gary Neville,Man Utd,2000
3,Gary Neville,England,2000
4,Wes Brown,Man Utd,2000
5,Wes Brown,England,2000
6,Jaap Stam,Man Utd,2000
7,Jaap Stam,Netherlands,2000
8,Mikaël Silvestre,Man Utd,2000
9,Mikaël Silvestre,France,2000
10,Roy Keane,Man Utd,2000
11,Roy Keane,Ireland,2000
12,Nicky Butt,Man Utd,2000
13,Nicky Butt,England,2000
14,Paul Scholes,Man Utd,2000
15,Paul Scholes,England,2000
16,Ryan Giggs,Man Utd,2000
17,Ryan Giggs,Wales,2000
18,Andy Cole,Man Utd,2000
19,Andy Cole,England,2000
20,Dwight Yorke,Man Utd,2000
21,Dwight Yorke,Trinidad and Tobago,2000
22,Teddy Sheringham,Man Utd,2000
23,Teddy Sheringham,England,2000
24,Ole Gunnar Solskjaer,Man Utd,2000
25,Ole Gunnar Solskjaer,Norway,2000
26,Luke Chadwick,Man Utd,2000
27,Luke Chadwick,England,2000
28,David Beckham,Man Utd,2000
29,David Beckham,England,2000
30,Denis Irwin,Man Utd,2000
31,Denis Irwin,Ireland,2000
32,Phil Neville,Man Utd,2000
33,Phil Neville,England,2000
34,Jonathan Greening,Man Utd,2000
35,Jonathan Greening,England,2000
36,Andy Goram,Man Utd,2000
37,Andy Goram,Scotland,2000
38,Paul Rachubka,Man Utd,2000
39,Paul Rachubka,England,2000
40,Raimond van der Gouw,Man Utd,2000
41,Raimond van der Gouw,Netherlands,2000
42,Mike Clegg,Man Utd,2000
43,Mike Clegg,England,2000
44,Ronny Johnsen,Man Utd,2000
45,Ronny Johnsen,Norway,2000
46,David May,Man Utd,2000
47,David May,England,2000
48,Jesper Blomqvist,Man Utd,2000
49,Jesper Blomqvist,Sweden,2000
50,Bojan Djordjic,Man Utd,2000
51,Bojan Djordjic,Sweden,2000
52,Quinton Fortune,Man Utd,2000
53,Quinton Fortune,South Africa,2000
54,Michael Stewart,Man Utd,2000
55,Michael Stewart,Scotland,2000
56,Ronnie Wallwork,Man Utd,2000
57,Ronnie Wallwork,England,2000
58,Mark Wilson,Man Utd,2000
59,Mark Wilson,England,2000
60,David Healy,Man Utd,2000
61,David Healy,Northern Ireland,2000
62,Mark Lynch,Man Utd,2000
63,Mark Lynch,England,2000
64,Paul Tierney,Man Utd,2000
65,Paul Tierney,Ireland,2000
66,Michael Twiss,Man Utd,2000
67,Michael Twiss,England,2000
68,Mark Bosnich,Man Utd,2000
69,Mark Bosnich,Australia,2000
70,Henning Berg,Man Utd,2000
71,Henning Berg,Norway,2000
72,John O'Shea,Man Utd,2000
73,John O'Shea,Ireland,2000
74,Danny Webber,Man Utd,2000
75,Danny Webber,England,2000
76,Alex Notman,Man Utd,2000
77,Alex Notman,Scotland,2000
78,David Seaman,Arsenal,2000
79,David Seaman,England,2000
80,Alberto Méndez,Arsenal,2000
81,Alberto Méndez,Germany,2000
82,Lee Dixon,Arsenal,2000
83,Lee Dixon,England,2000
84,Gilles Grimandi,Arsenal,2000
85,Gilles Grimandi,France,2000
86,Tony Adams,Arsenal,2000
87,Tony Adams,England,2000
