,full_name,team_name,season
0,Ruud van Nistelrooy,Man Utd,2002
1,Ruud van Nistelrooy,Netherlands,2002
2,Paul Scholes,Man Utd,2002
3,Paul Scholes,England,2002
4,Gary Neville,Man Utd,2002
5,Gary Neville,England,2002
6,Ryan Giggs,Man Utd,2002
7,Ryan Giggs,Wales,2002
8,Roy Keane,Man Utd,2002
9,Roy Keane,Ireland,2002
10,Ole Gunnar Solskjaer,Man Utd,2002
11,Ole Gunnar Solskjaer,Norway,2002
12,Rio Ferdinand,Man Utd,2002
13,Rio Ferdinand,England,2002
14,Juan Sebastián Verón,Man Utd,2002
15,Juan Sebastián Verón,Argentina,2002
16,Diego Forlán,Man Utd,2002
17,Diego Forlán,Uruguay,2002
18,Fabien Barthez,Man Utd,2002
19,Fabien Barthez,France,2002
20,Phil Neville,Man Utd,2002
21,Phil Neville,England,2002
22,Laurent Blanc,Man Utd,2002
23,Laurent Blanc,France,2002
24,David Beckham,Man Utd,2002
25,David Beckham,England,2002
26,John O'Shea,Man Utd,2002
27,John O'Shea,Ireland,2002
28,Mikaël Silvestre,Man Utd,2002
29,Mikaël Silvestre,France,2002
30,Ricardo,Man Utd,2002
31,Ricardo,Spain,2002
32,David May,Man Utd,2002
33,David May,England,2002
34,Luke Chadwick,Man Utd,2002
35,Luke Chadwick,England,2002
36,Michael Stewart,Man Utd,2002
37,Michael Stewart,Scotland,2002
38,Danny Pugh,Man Utd,2002
39,Danny Pugh,England,2002
40,Nicky Butt,Man Utd,2002
41,Nicky Butt,England,2002
42,Quinton Fortune,Man Utd,2002
43,Quinton Fortune,South Africa,2002
44,Lee Roche,Man Utd,2002
45,Lee Roche,England,2002
46,Kieran Richardson,Man Utd,2002
47,Kieran Richardson,England,2002
48,Roy Carroll,Man Utd,2002
49,Roy Carroll,Northern Ireland,2002
50,Daniel Nardiello,Man Utd,2002
51,Daniel Nardiello,Wales,2002
52,Wes Brown,Man Utd,2002
53,Wes Brown,England,2002
54,Ronny Johnsen,Man Utd,2002
55,Ronny Johnsen,Norway,2002
56,Ben Williams,Man Utd,2002
57,Ben Williams,England,2002
58,Mark Lynch,Man Utd,2002
59,Mark Lynch,England,2002
60,Mads Timm,Man Utd,2002
61,Mads Timm,Denmark,2002
62,Darren Fletcher,Man Utd,2002
63,Darren Fletcher,Scotland,2002
64,Danny Webber,Man Utd,2002
65,Danny Webber,England,2002
66,Paul Tierney,Man Utd,2002
67,Paul Tierney,Ireland,2002
68,Jimmy Davis,Man Utd,2002
69,Jimmy Davis,England,2002
70,David Seaman,Arsenal,2002
71,David Seaman,England,2002
72,Jermaine Pennant,Arsenal,2002
73,Jermaine Pennant,England,2002
74,Rami Shaaban,Arsenal,2002
75,Rami Shaaban,Sweden,2002
76,Robert Pirès,Arsenal,2002
77,Robert Pirès,France,2002
78,Stuart Taylor,Arsenal,2002
79,Stuart Taylor,England,2002
80,Sebastian Svärd,Arsenal,2002
81,Sebastian Svärd,Denmark,2002
82,Guillaume Warmuz,Arsenal,2002
83,Guillaume Warmuz,France,2002
84,Giovanni van Bronckhorst,Arsenal,2002
85,Giovanni van Bronckhorst,Netherlands,2002
86,Sol Campbell,Arsenal,2002
87,Sol Campbell,England,2002
88,Patrick Vieira,Arsenal,2002
89,Patrick Vieira,France,2002
90,Ashley Cole,Arsenal,2002
91,Ashley Cole,England,2002
92,Jérémie Aliadière,Arsenal,2002
93,Jérémie Aliadière,France,2002
94,Pascal Cygan,Arsenal,2002
95,Pascal Cygan,France,2002
96,Dennis Bergkamp,Arsenal,2002
97,Dennis Bergkamp,Netherlands,2002
98,Ryan Garry,Arsenal,2002
99,Ryan Garry,England,2002
100,Thierry Henry,Arsenal,2002
101,Thierry Henry,France,2002
102,Justin Hoyte,Arsenal,2002
103,Justin Hoyte,Trinidad and Tobago,2002
104,Francis Jeffers,Arsenal,2002
105,Francis Jeffers,England,2002
106,Martin Keown,Arsenal,2002
107,Martin Keown,England,2002
108,Nwankwo Kanu,Arsenal,2002
109,Nwankwo Kanu,Nigeria,2002
110,Laurén,Arsenal,2002
111,Laurén,Cameroon,2002
