,full_name,team_name,season
0,Petr Cech,Chelsea,2005
1,Petr Cech,Czech Republic,2005
2,Wayne Bridge,Chelsea,2005
3,Wayne Bridge,England,2005
4,Yves Makabu-Makalambay,Chelsea,2005
5,Yves Makabu-Makalambay,DR Congo,2005
6,Glen Johnson,Chelsea,2005
7,Glen Johnson,England,2005
8,Paulo Ferreira,Chelsea,2005
9,Paulo Ferreira,Portugal,2005
10,Ricardo Carvalho,Chelsea,2005
11,Ricardo Carvalho,Portugal,2005
12,John Terry,Chelsea,2005
13,John Terry,England,2005
14,Joe Cole,Chelsea,2005
15,Joe Cole,England,2005
16,Lassana Diarra,Chelsea,2005
17,Lassana Diarra,France,2005
18,Damien Duff,Chelsea,2005
19,Damien Duff,Ireland,2005
20,Michael Essien,Chelsea,2005
21,Michael Essien,Ghana,2005
22,Njitap Geremi,Chelsea,2005
23,Njitap Geremi,Cameroon,2005
24,Frank Lampard,Chelsea,2005
25,Frank Lampard,England,2005
26,Maniche,Chelsea,2005
27,Maniche,Portugal,2005
28,Carlton Cole,Chelsea,2005
29,Carlton Cole,England,2005
30,Didier Drogba,Chelsea,2005
31,Didier Drogba,Cote d'Ivoire,2005
32,Carlo Cudicini,Chelsea,2005
33,Carlo Cudicini,Italy,2005
34,Hernán Crespo,Chelsea,2005
35,Hernán Crespo,Argentina,2005
36,Lenny Pidgeley,Chelsea,2005
37,Lenny Pidgeley,England,2005
38,Asier del Horno,Chelsea,2005
39,Asier del Horno,Spain,2005
40,Eidur Gudjohnsen,Chelsea,2005
41,Eidur Gudjohnsen,Iceland,2005
42,William Gallas,Chelsea,2005
43,William Gallas,France,2005
44,Robert Huth,Chelsea,2005
45,Robert Huth,Germany,2005
46,Claude Makélélé,Chelsea,2005
47,Claude Makélélé,France,2005
48,Arjen Robben,Chelsea,2005
49,Arjen Robben,Netherlands,2005
50,Shaun Wright-Phillips,Chelsea,2005
51,Shaun Wright-Phillips,England,2005
52,Tiago Mendes,Chelsea,2005
53,Tiago Mendes,Portugal,2005
54,Filipe Morais,Chelsea,2005
55,Filipe Morais,Portugal,2005
56,Michael Mancienne,Chelsea,2005
57,Michael Mancienne,Seychelles,2005
58,Jimmy Smith,Chelsea,2005
59,Jimmy Smith,England,2005
60,Louis Saha,Man Utd,2005
61,Louis Saha,France,2005
62,Ruud van Nistelrooy,Man Utd,2005
63,Ruud van Nistelrooy,Netherlands,2005
64,Edwin van der Sar,Man Utd,2005
