,first_name,last_name,team_name,season
0,Mark,Noble,West Ham,2012
1,Isaiah,Brown,West Brom,2012
2,Nathan Luke,Baker,Aston Villa,2012
3,Wayne,Routledge,Swansea,2012
4,Craig,Gardner,Sunderland,2012
5,Csaba,Somogyi,Fulham,2012
6,Gustavo Lucas,Domingues Piazón,Chelsea,2012
7,Ali Abdullah Harib,Al Habsi,Wigan,2012
8,Iván,Ramis Barrios,Wigan,2012
9,Steve,Sidwell,Fulham,2012
10,Clint,Hill,QPR,2012
11,Stuart,Taylor,Reading,2012
12,Victor Chinedu,Anichebe,Everton,2012
13,Carlos Javier,Cuéllar Jiménez,Sunderland,2012
14,Ronnie,Stam,Wigan,2012
15,Kevin,Nolan,West Ham,2012
16,Tommy,Smith,QPR,2012
17,Titus Malachi,Bramble,Sunderland,2012
18,Albert,Crusat Domene,Wigan,2012
19,Rob,Hulse,QPR,2012
20,Andre,Wisdom,Liverpool,2012
21,Korey Alexander,Sheridan Smith,Norwich,2012
22,Nathan,Dyer,Swansea,2012
23,Samuel Edward,Hutchinson,Chelsea,2012
24,Elliott,Bennett,Norwich,2012
25,Callum Henry,McManaman,Wigan,2012
26,Àngel,Rangel Zaragoza,Swansea,2012
27,Sam,Baldock,West Ham,2012
28,George,Moncur,West Ham,2012
29,Jay Francis,Spearing,Liverpool,2012
30,Esteban Félix,Granero Molina,QPR,2012
31,Cameron,Jerome,Stoke City,2012
32,Brek,Shea,Stoke City,2012
33,Chinedum,Onuoha,QPR,2012
34,Tony,Hibbert,Everton,2012
35,Carlo,Nash,Stoke City,2012
36,Luke,Moore,Swansea,2012
37,Hogan,Ephraim,QPR,2012
38,Andy,Marshall,Aston Villa,2012
39,Adam,Mitchell,Sunderland,2012
40,Nicholas David,Maynard,West Ham,2012
41,Jose,Baxter,Everton,2012
42,Benjamin,Watson,Wigan,2012
43,Declan,Rudd,Norwich,2012
44,Danny,Graham,Sunderland,2012
45,Billy,Jones,West Brom,2012
46,George,Thorne,West Brom,2012
47,Lee,Cattermole,Sunderland,2012
48,Michael,Kightly,Stoke City,2012
49,Hope,Akpan,Reading,2012
50,Romain Grégoire,Clément Amalfitano,Newcastle,2012
51,Anton,Ferdinand,QPR,2012
52,Leon,Barnett,Norwich,2012
53,Florent,Cuvelier,Stoke City,2012
54,Frazer,Richardson,Southampton,2012
55,Simon,Lappin,Norwich,2012
56,Mason,Springthorpe,Everton,2012
57,Jerome,Thomas,West Brom,2012
58,Luciano,Becchio,Norwich,2012
59,Danny,Higginbotham,Stoke City,2012
60,Andrew,Surman,Norwich,2012
61,Jason David Ian,Puncheon,Southampton,2012
62,Bradley,Johnson,Norwich,2012
63,Dominic James,Samuel,Reading,2012
64,Ryan,Tunnicliffe,Manchester United,2012
65,Sammy,Ameobi,Newcastle,2012
66,James,Vaughan,Norwich,2012
67,Maximilian Andreas,Ehmer,QPR,2012
68,Michael Grant,Harriman,QPR,2012
69,Michael,Turner,Norwich,2012
70,Sylvain,Marveaux,Newcastle,2012
71,Stephen,Dobbie,Swansea,2012
72,Yoan,Gouffran,Newcastle,2012
73,Tom,Adeyemi,Norwich,2012
74,Nile,Ranger,Newcastle,2012
75,Alejandro Damián,Faurlin,QPR,2012
76,Emmanuel,Mayuka,Southampton,2012
77,Dean,Hammond,Southampton,2012
78,Garry,Monk,Swansea,2012
79,Nicholas,Bignall,Reading,2012
80,Adam,Buxton,Wigan,2012
81,Jordan Nathaniel,Bowery,Aston Villa,2012
82,Georgie,Francomb,Norwich,2012
83,Jobi,McAnuff,Reading,2012
84,Marc-Antoine,Fortuné,West Brom,2012
85,Matthew John,Lowton,Aston Villa,2012
86,Jed John,Steer,Norwich,2012
87,David Frank Llwyd,Jones,Wigan,2012
88,Eric,Lichaj,Aston Villa,2012
89,Liam,Ridgewell,West Brom,2012
90,Garath James,McCleary,Reading,2012
91,Elliot Robert,Lee,West Ham,2012
92,Shaun,Cummings,Reading,2012
93,Papiss Demba,Cissé,Newcastle,2012
94,Ryan Anthony,Dickson,Southampton,2012
95,Grant,Holt,Norwich,2012
96,Alex,Tchuimeni-Nimely,Manchester City,2012
97,Steve,Harper,Newcastle,2012
98,Guilherme,do Prado Raymundo,Southampton,2012
99,Federico,Bessone Luna,Swansea,2012
100,Karim,El Ahmadi Al Aroos,Aston Villa,2012
101,Nick,Arnold,Reading,2012
102,Geoff,Cameron,Stoke City,2012
103,Ryan,Taylor,Newcastle,2012
104,Lloyd Richard,Jones,Liverpool,2012
105,David,Fox,Norwich,2012
106,Wilson Roberto,Palacios Suazo,Stoke City,2012
107,Yacouba,Sylla,Aston Villa,2012
108,Modibo,Maïga,West Ham,2012
109,Armand,Traoré,QPR,2012
110,Maynor Alexis,Figueroa Róchez,Wigan,2012
111,Shola,Ameobi,Newcastle,2012
112,Abdou Kader,Mangane,Sunderland,2012
113,Steven,Pienaar,Everton,2012
114,Maurice,Edu,Stoke City,2012
115,Clint,Dempsey,Tottenham,2012
116,Kenwyne,Jones,Stoke City,2012
117,Mahamadou,Diarra,Fulham,2012
118,Mike,Pollitt,Wigan,2012
119,Dickson Paul,Etuhu,Fulham,2012
120,Michael,Tonge,Stoke City,2012
121,Ciaran,Clark,Aston Villa,2012
122,Shane Patrick,Long,West Brom,2012
123,Ryan,Shotton,Stoke City,2012
124,Keiren,Westwood,Sunderland,2012
125,Darron,Gibson,Everton,2012
126,Anthony Neil James,Pilkington,Norwich,2012
127,John,O'Shea,Sunderland,2012
128,Alex,Pearce,Reading,2012
129,Marc David,Wilson,Stoke City,2012
130,Emmanuel,Adebayor,Tottenham,2012
131,Ricardo Jorge,Vaz Tê,West Ham,2012
132,Jonathan,Walters,Stoke City,2012
133,Stephen Francis,Henderson,West Ham,2012
134,Stephen,Kelly,Reading,2012
135,Zoltán,Gera,West Brom,2012
136,Emmanuel Yaw,Frimpong,Fulham,2012
137,Mikel,Arteta Amatriain,Arsenal,2012
138,Giorgios,Karagounis,Fulham,2012
139,Jay,Tabb,Reading,2012
140,Michel,Vorm,Swansea,2012
141,Davide,Santon,Newcastle,2012
142,Chris,Brunt,West Brom,2012
143,Glenn David,Whelan,Stoke City,2012
144,Mikel John,Obi,Chelsea,2012
145,David,Meyler,Sunderland,2012
146,Ron Peter,Vlaar,Aston Villa,2012
147,Robin,van Persie,Manchester United,2012
148,Demba,Ba,Chelsea,2012
149,Goran,Popov,West Brom,2012
150,Chris,Baird,Fulham,2012
151,Ross,Turnbull,Chelsea,2012
152,Dwight,Tiendalli,Swansea,2012
153,Robert,Huth,Stoke City,2012
154,Itay Menachem,Shechter,Swansea,2012
155,Michael,Essien,Chelsea,2012
156,Yossi Shai,Benayoun,Chelsea,2012
157,Damien,Duff,Fulham,2012
158,George,McCartney,West Ham,2012
159,Carlo,Cudicini,Tottenham,2012
160,Gareth,McAuley,West Brom,2012
161,Daniel Filipe,Martins Carriço,Reading,2012
162,James,McFarlane McArthur,Wigan,2012
163,Artur,Boruc,Southampton,2012
164,Phil,Bardsley,Sunderland,2012
165,Alexander Banor,Tettey,Norwich,2012
166,Costel Fane,Pantilimon,Manchester City,2012
167,Lee,Camp,Norwich,2012
168,Benjamin Neil,Reeves,Southampton,2012
169,Aaron,Hughes,Fulham,2012
170,Matthew,Kilgallon,Sunderland,2012
171,James,McFadden,Sunderland,2012
172,Steven,Reid,West Brom,2012
173,Henrique Hilário,Meireles Alves Sampaio,Chelsea,2012
174,Raul José,Trindade Meireles,Chelsea,2012
175,Gary,Caldwell,Wigan,2012
176,José,Bosingwa da Silva,QPR,2012
177,Jason,Roberts,Reading,2012
178,Paulo Renato,Rebocho Ferreira,Chelsea,2012
179,Michael,Johnson,Manchester City,2012
180,David Josué,Jiménez Silva,Manchester City,2012
181,David,de Gea Quintana,Manchester United,2012
182,Juan Manuel,Mata García,Chelsea,2012
183,Branislav,Ivanović,Chelsea,2012
184,Graham,Dorrans,West Brom,2012
185,Russell,Martin,Norwich,2012
186,Robert,Snodgrass,Norwich,2012
187,Pablo,Hernández Domínguez,Swansea,2012
188,James,Morrison,West Brom,2012
189,Mark,Bunn,Norwich,2012
190,Alan,Hutton,Aston Villa,2012
191,Steven,Fletcher,Sunderland,2012
192,Christopher Hugh,Martin,Norwich,2012
193,Daniel,Fox,Southampton,2012
194,Jamie,Mackie,QPR,2012
195,Steven Gordon,Whittaker,Norwich,2012
196,Steven John,Naismith,Everton,2012
197,Nick,Blackman,Reading,2012
198,Shaun,Maloney,Wigan,2012
199,Miguel,Pérez Cuesta,Swansea,2012
200,Gareth Frank,Bale,Tottenham,2012
201,Ignacio,Monreal Eraso,Arsenal,2012
