,full_name,team_name,season
0,Petr Cech,Chelsea,2004
1,Petr Cech,Czech Republic,2004
2,Carlo Cudicini,Chelsea,2004
3,Carlo Cudicini,Italy,2004
4,Yves Makabu-Makalambay,Chelsea,2004
5,Yves Makabu-Makalambay,DR Congo,2004
6,Wayne Bridge,Chelsea,2004
7,Wayne Bridge,England,2004
8,Mateja Kezman,Chelsea,2004
9,Mateja Kezman,Serbia,2004
10,William Gallas,Chelsea,2004
11,William Gallas,France,2004
12,Robert Huth,Chelsea,2004
13,Robert Huth,Germany,2004
14,Anthony Grant,Chelsea,2004
15,Anthony Grant,Jamaica,2004
16,Lenny Pidgeley,Chelsea,2004
17,Lenny Pidgeley,England,2004
18,Glen Johnson,Chelsea,2004
19,Glen Johnson,England,2004
20,Nuno Morais,Chelsea,2004
21,Nuno Morais,Portugal,2004
22,Paulo Ferreira,Chelsea,2004
23,Paulo Ferreira,Portugal,2004
24,Ricardo Carvalho,Chelsea,2004
25,Ricardo Carvalho,Portugal,2004
26,John Terry,Chelsea,2004
27,John Terry,England,2004
28,Steven Watt,Chelsea,2004
29,Steven Watt,Scotland,2004
30,Joe Cole,Chelsea,2004
31,Joe Cole,England,2004
32,Damien Duff,Chelsea,2004
33,Damien Duff,Ireland,2004
34,Njitap Geremi,Chelsea,2004
35,Njitap Geremi,Cameroon,2004
36,Jiri Jarosik,Chelsea,2004
37,Jiri Jarosik,Czech Republic,2004
38,Frank Lampard,Chelsea,2004
39,Frank Lampard,England,2004
40,Claude Makélélé,Chelsea,2004
41,Claude Makélélé,France,2004
42,Scott Parker,Chelsea,2004
43,Scott Parker,England,2004
44,Aleksey Smertin,Chelsea,2004
45,Aleksey Smertin,Russia,2004
46,Tiago Mendes,Chelsea,2004
47,Tiago Mendes,Portugal,2004
48,Didier Drogba,Chelsea,2004
49,Didier Drogba,Cote d'Ivoire,2004
50,Filipe Oliveira,Chelsea,2004
51,Filipe Oliveira,Portugal,2004
52,Mikael Forssell,Chelsea,2004
53,Mikael Forssell,Finland,2004
54,Eidur Gudjohnsen,Chelsea,2004
55,Eidur Gudjohnsen,Iceland,2004
56,Arjen Robben,Chelsea,2004
57,Arjen Robben,Netherlands,2004
58,Celestine Babayaro,Chelsea,2004
59,Celestine Babayaro,Nigeria,2004
60,Adrian Mutu,Chelsea,2004
61,Adrian Mutu,Romania,2004
62,José Antonio Reyes,Arsenal,2004
63,José Antonio Reyes,Spain,2004
64,Laurén,Arsenal,2004
65,Laurén,Cameroon,2004
66,Thierry Henry,Arsenal,2004
67,Thierry Henry,France,2004
68,Gilberto Silva,Arsenal,2004
69,Gilberto Silva,Brazil,2004
70,Jens Lehmann,Arsenal,2004
71,Jens Lehmann,Germany,2004
72,Robert Pirès,Arsenal,2004
73,Robert Pirès,France,2004
74,Manuel Almunia,Arsenal,2004
75,Manuel Almunia,Spain,2004
76,Patrick Vieira,Arsenal,2004
77,Patrick Vieira,France,2004
78,Michael Jordan,Arsenal,2004
79,Michael Jordan,England,2004
80,Jérémie Aliadière,Arsenal,2004
81,Jérémie Aliadière,France,2004
82,Sol Campbell,Arsenal,2004
83,Sol Campbell,England,2004
84,Dennis Bergkamp,Arsenal,2004
85,Dennis Bergkamp,Netherlands,2004
86,Gaël Clichy,Arsenal,2004
87,Gaël Clichy,France,2004
88,Arturo Lupoli,Arsenal,2004
89,Arturo Lupoli,Italy,2004
90,Ashley Cole,Arsenal,2004
91,Ashley Cole,England,2004
92,Pascal Cygan,Arsenal,2004
93,Pascal Cygan,France,2004
94,Robin van Persie,Arsenal,2004
95,Robin van Persie,Netherlands,2004
96,Johan Djourou,Arsenal,2004
97,Johan Djourou,Switzerland,2004
98,Emmanuel Eboué,Arsenal,2004
99,Emmanuel Eboué,Cote d'Ivoire,2004
100,Justin Hoyte,Arsenal,2004
101,Justin Hoyte,Trinidad and Tobago,2004
102,Philippe Senderos,Arsenal,2004
103,Philippe Senderos,Switzerland,2004
104,Frank Simek,Arsenal,2004
105,Frank Simek,United States,2004
106,Kolo Touré,Arsenal,2004
107,Kolo Touré,Cote d'Ivoire,2004
