,full_name,team_name,season
0,Paul Scholes,Man Utd,1998
1,Paul Scholes,England,1998
2,Peter Schmeichel,Man Utd,1998
3,Peter Schmeichel,Denmark,1998
4,Michael Twiss,Man Utd,1998
5,Michael Twiss,England,1998
6,Raimond van der Gouw,Man Utd,1998
7,Raimond van der Gouw,Netherlands,1998
8,Ronnie Wallwork,Man Utd,1998
9,Ronnie Wallwork,England,1998
10,Henning Berg,Man Utd,1998
11,Henning Berg,Norway,1998
12,Wes Brown,Man Utd,1998
13,Wes Brown,England,1998
14,Mike Clegg,Man Utd,1998
15,Mike Clegg,England,1998
16,Teddy Sheringham,Man Utd,1998
17,Teddy Sheringham,England,1998
18,John Curtis,Man Utd,1998
19,John Curtis,England,1998
20,Ole Gunnar Solskjaer,Man Utd,1998
21,Ole Gunnar Solskjaer,Norway,1998
22,Danny Higginbotham,Man Utd,1998
23,Danny Higginbotham,Gibraltar,1998
24,Dwight Yorke,Man Utd,1998
25,Dwight Yorke,Trinidad and Tobago,1998
26,Denis Irwin,Man Utd,1998
27,Denis Irwin,Ireland,1998
28,Ronny Johnsen,Man Utd,1998
29,Ronny Johnsen,Norway,1998
30,David May,Man Utd,1998
31,David May,England,1998
32,Gary Neville,Man Utd,1998
33,Gary Neville,England,1998
34,Phil Neville,Man Utd,1998
35,Phil Neville,England,1998
36,Jaap Stam,Man Utd,1998
37,Jaap Stam,Netherlands,1998
38,David Beckham,Man Utd,1998
39,David Beckham,England,1998
40,Jesper Blomqvist,Man Utd,1998
41,Jesper Blomqvist,Sweden,1998
42,Nicky Butt,Man Utd,1998
43,Nicky Butt,England,1998
44,Ryan Giggs,Man Utd,1998
45,Ryan Giggs,Wales,1998
46,Jonathan Greening,Man Utd,1998
47,Jonathan Greening,England,1998
48,Roy Keane,Man Utd,1998
49,Roy Keane,Ireland,1998
50,Andy Cole,Man Utd,1998
51,Andy Cole,England,1998
52,David Healy,Man Utd,1998
53,David Healy,Northern Ireland,1998
54,Erik Nevland,Man Utd,1998
55,Erik Nevland,Norway,1998
56,Jordi Cruyff,Man Utd,1998
57,Jordi Cruyff,Netherlands,1998
58,Kevin Pilkington,Man Utd,1998
59,Kevin Pilkington,England,1998
60,Mark Wilson,Man Utd,1998
61,Mark Wilson,England,1998
62,Phil Mulryne,Man Utd,1998
